publi_name,kingdom,phylum,class,order,family,genus,SpeciesChecked,temp,Locomotion_mode,Locomotion_secondary,Mobility,order_common_name
Clymenella_torquata,Animalia,Annelida,Polychaeta,Capitellida,Maldanidae,Clymenella,Clymenella torquata,ectotherm,burrowing,NA,facultatively mobile,bristle worms
Heteromastus_filiformis,Animalia,Annelida,Polychaeta,Capitellida,Capitellidae,Heteromastus,Heteromastus filiformis,ectotherm,burrowing,NA,facultatively mobile,bristle worms
Diopatra_neapolitana,Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra,Diopatra neapolitana,ectotherm,swimming,crawling,mobile,bristle worms
Alitta_succinea,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta succinea,ectotherm,burrowing,swimming,facultatively mobile,ragworms
Glycera_americana,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera americana,ectotherm,burrowing,swimming,facultatively mobile,bristle worms
Glycinde_solitaria,Animalia,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde,Glycinde multidens,ectotherm,burrowing,swimming,facultatively mobile,bristle worms
Nephtys_incisa,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,Nephtys incisa,ectotherm,burrowing,swimming,facultatively mobile,bristle worms
Nephtys_picta,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,Nephtys picta,ectotherm,burrowing,swimming,facultatively mobile,bristle worms
Podarkeopsis_levifuscina,Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Podarkeopsis,Podarkeopsis levifuscina,ectotherm,burrowing,swimming,facultatively mobile,bristle worms
Sigambra_tentaculata,Animalia,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra,Sigambra tentaculata,ectotherm,burrowing,NA,facultatively mobile,segmented worms
Galeolaria_caespitosa,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Galeolaria,Galeolaria caespitosa,ectotherm,sessile,NA,sessile,bristle worms
Sabellaria_vulgaris,Animalia,Annelida,Polychaeta,Sabellida,Sabellariidae,Sabellaria,Sabellaria vulgaris,ectotherm,sessile,NA,sessile,segmented worms
Mediomastus_ambiseta,Animalia,Annelida,Polychaeta,Scolecida,Capitellidae,Mediomastus,Mediomastus ambiseta,ectotherm,sessile,NA,sessile,bristle worms
Haploscoloplos_robustus,Animalia,Annelida,Polychaeta,Scolecida,Orbiniidae,Scoloplos,Scoloplos robustus,ectotherm,burrowing,crawling,facultatively mobile,bristle worms
Paraprionospio_pinnata,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio,Paraprionospio pinnata,ectotherm,sessile,swimming,sessile,bristle worms
Polydora_cornuta,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Polydora,Polydora cornuta,ectotherm,sessile,swimming,sessile,bristle worms
Spiophanes_bombyx,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,Spiophanes bombyx,ectotherm,sessile,swimming,sessile,bristle worms
Streblospio_benedicti,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Streblospio,Streblospio benedicti,ectotherm,sessile,swimming,sessile,bristle worms
Pectinaria_gouldii,Animalia,Annelida,Polychaeta,Terebellida,Pectinariidae,Pectinaria,Pectinaria gouldii,ectotherm,sessile,NA,sessile,bristle worms
Tharyx_acutus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Tharyx,Tharyx acutus,ectotherm,sessile,NA,sessile,bristle worms
Agalenatea_redii,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Agalenatea,Agalenatea redii,ectotherm,crawling,NA,mobile,spiders
Agelena_labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,Agelena labyrinthica,ectotherm,crawling/ballooning,ballooning,mobile,spiders
Agroeca_brunnea,Animalia,Arthropoda,Arachnida,Araneae,Liocranidae,Agroeca,Agroeca brunnea,ectotherm,crawling,NA,mobile,spiders
Agroeca_proxima,Animalia,Arthropoda,Arachnida,Araneae,Liocranidae,Agroeca,Agroeca proxima,ectotherm,crawling,NA,mobile,spiders
Agyneta_conigera,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,Agyneta,Agyneta conigera,ectotherm,crawling,NA,mobile,spiders
