"Code","Species","MaxDispersalDistanceKm","Genus","Hemisphere","Ecosystem","Gradient","Position","ShiftR","EleVeloT","LatVeloT","Unit","BaselineT","HFI","PrAb","Sampling","Grain","Signif","Quality","Ntaxa","Start","Area","LifeForm","Reference","Source","n_cl","n_sp","StartF","AreaF","NtaxaF","IDn","corrected_shift","scientificName","kingdom","phylum","class","order","family","ObservationTypeGeneral","Group"
"MaxDispersalDistance","Erithacus rubecula",79.8,"Erithacus","North","Terrestrial","Elevation","Centroid",4.85106383,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",1,1796,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",1,0.926517313026639,"Erithacus rubecula","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","movement study","Birds"
"MaxDispersalDistance","Turdus viscivorus",43.1,"Turdus","North","Terrestrial","Elevation","Centroid",-1.404255319,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",3,3477,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",3,-0.525425750385776,"Turdus viscivorus","Animalia","Chordata","Aves","Passeriformes","Turdidae","movement study","Birds"
"MaxDispersalDistance","Parus major",41.1,"Parus","North","Terrestrial","Elevation","Centroid",0.042553191,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",4,1817,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",4,-0.115290764911499,"Parus major","Animalia","Chordata","Aves","Passeriformes","Paridae","natal dispersal","Birds"
"MaxDispersalDistance","Parus major",41.1,"Parus","North","Terrestrial","Elevation","Centroid",0.042553191,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",4,1817,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",4,-0.115290764911499,"Parus major","Animalia","Chordata","Aves","Passeriformes","Paridae","movement study","Birds"
"MaxDispersalDistance","Dendrocopos major",56.1,"Dendrocopos","North","Terrestrial","Elevation","Centroid",-7.872340426,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",6,1749,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",6,-2.05565066388729,"Dendrocopus major","Animalia","Chordata","Aves",NA,NA,"movement study","Birds"
"MaxDispersalDistance","Pyrrhula pyrrhula",24.2,"Pyrrhula","North","Terrestrial","Elevation","Centroid",-0.638297872,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",7,1747,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",7,-0.3014019224722,"Pyrrhula pyrrhula","Animalia","Chordata","Aves","Passeriformes","Fringillidae","movement study","Birds"
"MaxDispersalDistance","Fringilla coelebs",22.6,"Fringilla","North","Terrestrial","Elevation","Centroid",-1.319148936,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",8,2389,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",8,-0.4499410746513,"Fringilla coelebs","Animalia","Chordata","Aves","Passeriformes","Fringillidae","movement study","Birds"
"MaxDispersalDistance","Garrulus glandarius",19,"Garrulus","North","Terrestrial","Elevation","Centroid",-2.978723404,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",9,1902,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",9,-0.746867607871956,"Garrulus glandarius","Animalia","Chordata","Aves","Passeriformes","Corvidae","movement study","Birds"
"MaxDispersalDistance","Poecile palustris",7.3,"Poecile","North","Terrestrial","Elevation","Centroid",-1.404255319,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",10,2391,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",10,-0.454801806284628,"Poecile palustris","Animalia","Chordata","Aves","Passeriformes","Paridae","natal dispersal","Birds"
"MaxDispersalDistance","Turdus philomelos",50.2,"Turdus","North","Terrestrial","Elevation","Centroid",-3.787234043,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",12,2028,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",12,-1.08234887218342,"Turdus philomelos","Animalia","Chordata","Aves","Passeriformes","Turdidae","movement study","Birds"
