"genus_species","genus","family","class","order","kingdom","db","db_code","female_maturity_d","litter_or_clutch_size_n","litters_or_clutches_per_y","adult_body_mass_g","maximum_longevity_y","gestation_d","weaning_d","longevity_y","male_maturity_d","female_body_mass_g","male_body_mass_g","unsexed_body_mass_g","female_body_mass_at_maturity_g","growth_rate","unk_body_mass_g","wing_length_mm","trophic_level","trophic_niche","min_latitude_deg","max_latitude_deg","range_size_km2","body_length_mm","qualitative_body_size","trophic_guild","population_density_n_per_ha","male_wing_length_mm","female_wing_length_mm","unsexed_wing_length_mm","unsexed_body_length_cm","mean_unsexed_wing_length_mm","mean_male_wing_length_mm","mean_female_wing_length_mm","litter_or_clutch_size_n_min","litter_or_clutch_size_n_max","litter_or_clutch_size_n_mean","maturity_d","median_dispersal_distance_km","maximum_dispersal_distance_km","primary_source"
"Accipiter badius","Accipiter","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480610",363.468,3.25,1,140,NA,NA,NA,NA,NA,168.5,125,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Accipiter cooperii","Accipiter","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480621",730,4.35,1,452,20.33333333,NA,NA,12,730,529,338.5,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Accipiter gentilis","Accipiter","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480589",636.835,3.5,1,988.75,22,NA,NA,17.70833333,730,1117.333334,734,924.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Accipiter melanoleucus","Accipiter","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480631",1090.404,2.8,1,701.8833333,10,NA,NA,7.5,NA,865,550,699.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Accipiter meyerianus","Accipiter","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480602",NA,3,NA,815,NA,NA,NA,NA,NA,1100,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Accipiter minullus","Accipiter","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480594",363.468,2,NA,84.05,NA,NA,NA,NA,NA,97.25,80.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Accipiter nisus","Accipiter","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480637",365,4.75,1,212,20.25,NA,NA,17.89166667,365,290,147,169.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Accipiter novaehollandiae","Accipiter","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480629",NA,2.725,NA,479.5833333,NA,NA,NA,NA,NA,716,312,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Accipiter ovampensis","Accipiter","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480587",NA,3,NA,199.1666667,NA,NA,NA,NA,NA,260,140,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Accipiter poliocephalus","Accipiter","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480607",NA,1,NA,225,NA,NA,NA,NA,NA,253,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
