"Code","Species","MaxDispersalDistanceKm","Genus","Hemisphere","Ecosystem","Gradient","Position","ShiftR","EleVeloT","LatVeloT","Unit","BaselineT","HFI","PrAb","Sampling","Grain","Signif","Quality","Ntaxa","Start","Area","LifeForm","Reference","Source","n_cl","n_sp","StartF","AreaF","NtaxaF","IDn","corrected_shift","kingdom","phylum","class","order","family","Group","LifeSpanYears","AgeAtMaturityDays","YearOfMaturity","MaxDispersalPotentialKmY","MaxDispersalPotentialmY","MaxDispersalDistancem","lag","raw_lag","expect_tracking","expected_lag","annual_dispersal_pot","climate_velocity"
"MaxDispersalDistance","Erithacus rubecula",79.8,"Erithacus","North","Terrestrial","Elevation","Centroid",4.85106383,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",1,1796,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",1,0.926517313026639,"Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Birds",19.33333333,NA,NA,4.1275862076082,4127.5862076082,79800,-12.1993672669734,-8.27482075,"Yes",4114.4603230282,4127.5862076082,13.12588458
"MaxDispersalDistance","Turdus viscivorus",43.1,"Turdus","North","Terrestrial","Elevation","Centroid",-1.404255319,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",3,3477,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",3,-0.525425750385776,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Birds",21.25,NA,NA,2.02823529411765,2028.23529411765,43100,-13.6513103303858,-14.530139899,"Yes",2015.10940953765,2028.23529411765,13.12588458
"MaxDispersalDistance","Parus major",41.1,"Parus","North","Terrestrial","Elevation","Centroid",0.042553191,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",4,1817,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",4,-0.115290764911499,"Animalia","Chordata","Aves","Passeriformes","Paridae","Birds",15.417,NA,NA,2.66588830511773,2665.88830511773,41100,-13.2411753449115,-13.083331389,"Yes",2652.76242053773,2665.88830511773,13.12588458
"MaxDispersalDistance","Pyrrhula pyrrhula",24.2,"Pyrrhula","North","Terrestrial","Elevation","Centroid",-0.638297872,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",7,1747,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",7,-0.3014019224722,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Birds",17.5,NA,NA,1.38285714285714,1382.85714285714,24200,-13.4272865024722,-13.764182452,"Yes",1369.73125827714,1382.85714285714,13.12588458
"MaxDispersalDistance","Fringilla coelebs",22.6,"Fringilla","North","Terrestrial","Elevation","Centroid",-1.319148936,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",8,2389,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",8,-0.4499410746513,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Birds",29,NA,NA,0.779310344827586,779.310344827586,22600,-13.5758256546513,-14.445033516,"Yes",766.184460247586,779.310344827586,13.12588458
"MaxDispersalDistance","Garrulus glandarius",19,"Garrulus","North","Terrestrial","Elevation","Centroid",-2.978723404,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",9,1902,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",9,-0.746867607871956,"Animalia","Chordata","Aves","Passeriformes","Corvidae","Birds",17.91666667,NA,NA,1.06046511608177,1060.46511608177,19000,-13.872752187872,-16.104607984,"Yes",1047.33923150177,1060.46511608177,13.12588458
"MaxDispersalDistance","Poecile palustris",7.3,"Poecile","North","Terrestrial","Elevation","Centroid",-1.404255319,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",10,2391,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",10,-0.454801806284628,"Animalia","Chordata","Aves","Passeriformes","Paridae","Birds",12,NA,NA,0.608333333333333,608.333333333333,7300,-13.5806863862846,-14.530139899,"Yes",595.207448753333,608.333333333333,13.12588458
"MaxDispersalDistance","Turdus philomelos",50.2,"Turdus","North","Terrestrial","Elevation","Centroid",-3.787234043,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",12,2028,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",12,-1.08234887218342,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Birds",18,NA,NA,2.78888888888889,2788.88888888889,50200,-14.2082334521834,-16.913118623,"Yes",2775.76300430889,2788.88888888889,13.12588458
"MaxDispersalDistance","Periparus ater",31,"Periparus","North","Terrestrial","Elevation","Centroid",-4.170212766,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",13,2395,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",13,-1.09104292714747,"Animalia","Chordata","Aves","Passeriformes","Paridae","Birds",10,NA,NA,3.1,3100,31000,-14.2169275071475,-17.296097346,"Yes",3086.87411542,3100,13.12588458
"MaxDispersalDistance","Troglodytes troglodytes",38.3,"Troglodytes","North","Terrestrial","Elevation","Centroid",2.29787234,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",14,2030,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",14,0.304913679460989,"Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Birds",7,NA,NA,5.47142857142857,5471.42857142857,38300,-12.820970900539,-10.82801224,"Yes",5458.30268684857,5471.42857142857,13.12588458
