"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","ObservationTypeSpecific","Source","Field","DispersalDistance","Code","Database","Unit","Sex","ObservationTypeGeneral"
"Phascolarctos cinereus","Phascolarctos cinereus","Phascolarctos cinereus","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","gbif","GBIF:2440012","individual movement distance","23","Value","10.6","MaxDispersalDistance","Whitmee & Orme 2013","km","Female","movement study"
"Phascolarctos cinereus","Phascolarctos cinereus","Phascolarctos cinereus","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","gbif","GBIF:2440012","individual movement distance","23","Value","9.7","MaxDispersalDistance","Whitmee & Orme 2013","km","Male","movement study"
"Phascolarctos cinereus","Phascolarctos cinereus","Phascolarctos cinereus","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","gbif","GBIF:2440012","individual movement distance","23","Value","3.4","MeanDispersalDistance","Whitmee & Orme 2013","km","Female","movement study"
"Phascolarctos cinereus","Phascolarctos cinereus","Phascolarctos cinereus","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","gbif","GBIF:2440012","individual movement distance","23","Value","3.5","MeanDispersalDistance","Whitmee & Orme 2013","km","Male","movement study"
"Phascolarctos cinereus","Phascolarctos cinereus","Phascolarctos cinereus","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","gbif","GBIF:2440012","individual movement distance","23","Value","1.7","MedianDispersalDistance","Whitmee & Orme 2013","km","Female","movement study"
"Phascolarctos cinereus","Phascolarctos cinereus","Phascolarctos cinereus","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","gbif","GBIF:2440012","individual movement distance","23","Value","2","MedianDispersalDistance","Whitmee & Orme 2013","km","Male","movement study"
"Brachylagus idahoensis","Brachylagus idahoensis","Brachylagus idahoensis","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436688","individual movement distance","25","Value","11.9","MaxDispersalDistance","Whitmee & Orme 2013","km","Female","movement study"
"Brachylagus idahoensis","Brachylagus idahoensis","Brachylagus idahoensis","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436688","individual movement distance","25","Value","6.5","MaxDispersalDistance","Whitmee & Orme 2013","km","Male","movement study"
"Brachylagus idahoensis","Brachylagus idahoensis","Brachylagus idahoensis","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436688","individual movement distance","25","Value","2.9","MedianDispersalDistance","Whitmee & Orme 2013","km","Female","movement study"
"Brachylagus idahoensis","Brachylagus idahoensis","Brachylagus idahoensis","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436688","individual movement distance","25","Value","1","MedianDispersalDistance","Whitmee & Orme 2013","km","Male","movement study"
