"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","ObservationTypeSpecific","Source","Field","DispersalDistance","Code","Database","Unit","Sex","ObservationTypeGeneral"
"Abramis brama","Abramis brama","Abramis brama","Animalia","Chordata",NA,"Cypriniformes","Cyprinidae","gbif","GBIF:9809222","radio-tracking","Lyons & Lucas 2002","Mean_dispersal_distance_(m)","347.02","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Abramis brama","Abramis brama","Abramis brama","Animalia","Chordata",NA,"Cypriniformes","Cyprinidae","gbif","GBIF:9809222","radio-tracking","Donnelly et al. 1998","Mean_dispersal_distance_(m)","664.6","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Acipenser brevirostrum","Acipenser brevirostrum","Acipenser brevirostrum","Animalia","Chordata",NA,"Acipenseriformes","Acipenseridae","gbif","GBIF:2402192","radio-tracking","Buckley & Kynard 1985","Mean_dispersal_distance_(m)","39750","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Acipenser fulvescens","Acipenser fulvescens","Acipenser fulvescens","Animalia","Chordata",NA,"Acipenseriformes","Acipenseridae","gbif","GBIF:2402120","radio-tracking","Mann et al. 2011","Mean_dispersal_distance_(m)","311.85","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Acipenser fulvescens","Acipenser fulvescens","Acipenser fulvescens","Animalia","Chordata",NA,"Acipenseriformes","Acipenseridae","gbif","GBIF:2402120","radio-tracking","Mann et al. 2011","Mean_dispersal_distance_(m)","401.27","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Acipenser fulvescens","Acipenser fulvescens","Acipenser fulvescens","Animalia","Chordata",NA,"Acipenseriformes","Acipenseridae","gbif","GBIF:2402120","radio-tracking","Trested et al. 2011","Mean_dispersal_distance_(m)","565","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Acipenser fulvescens","Acipenser fulvescens","Acipenser fulvescens","Animalia","Chordata",NA,"Acipenseriformes","Acipenseridae","gbif","GBIF:2402120","radio-tracking","Trested et al. 2011","Mean_dispersal_distance_(m)","585","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Acipenser fulvescens","Acipenser fulvescens","Acipenser fulvescens","Animalia","Chordata",NA,"Acipenseriformes","Acipenseridae","gbif","GBIF:2402120","radio-tracking","Trested et al. 2011","Mean_dispersal_distance_(m)","904","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Acipenser fulvescens","Acipenser fulvescens","Acipenser fulvescens","Animalia","Chordata",NA,"Acipenseriformes","Acipenseridae","gbif","GBIF:2402120","mark-release-recapture","Barth et al. 2011","Mean_dispersal_distance_(m)","1013.33","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Acipenser fulvescens","Acipenser fulvescens","Acipenser fulvescens","Animalia","Chordata",NA,"Acipenseriformes","Acipenseridae","gbif","GBIF:2402120","radio-tracking","Trested et al. 2011","Mean_dispersal_distance_(m)","1170","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Acipenser fulvescens","Acipenser fulvescens","Acipenser fulvescens","Animalia","Chordata",NA,"Acipenseriformes","Acipenseridae","gbif","GBIF:2402120","radio-tracking","Trested et al. 2011","Mean_dispersal_distance_(m)","1695","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Acipenser fulvescens","Acipenser fulvescens","Acipenser fulvescens","Animalia","Chordata",NA,"Acipenseriformes","Acipenseridae","gbif","GBIF:2402120","radio-tracking","Rusak & Mosindy 1997","Mean_dispersal_distance_(m)","1700","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Acipenser fulvescens","Acipenser fulvescens","Acipenser fulvescens","Animalia","Chordata",NA,"Acipenseriformes","Acipenseridae","gbif","GBIF:2402120","radio-tracking","Trested et al. 2011","Mean_dispersal_distance_(m)","2850","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Acipenser fulvescens","Acipenser fulvescens","Acipenser fulvescens","Animalia","Chordata",NA,"Acipenseriformes","Acipenseridae","gbif","GBIF:2402120","radio-tracking","Rusak & Mosindy 1997","Mean_dispersal_distance_(m)","3342.5","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Acipenser fulvescens","Acipenser fulvescens","Acipenser fulvescens","Animalia","Chordata",NA,"Acipenseriformes","Acipenseridae","gbif","GBIF:2402120","radio-tracking","Trested et al. 2011","Mean_dispersal_distance_(m)","4407","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Acipenser fulvescens","Acipenser fulvescens","Acipenser fulvescens","Animalia","Chordata",NA,"Acipenseriformes","Acipenseridae","gbif","GBIF:2402120","radio-tracking","Rusak & Mosindy 1997","Mean_dispersal_distance_(m)","5173","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Acipenser fulvescens","Acipenser fulvescens","Acipenser fulvescens","Animalia","Chordata",NA,"Acipenseriformes","Acipenseridae","gbif","GBIF:2402120","radio-tracking","Rusak & Mosindy 1997","Mean_dispersal_distance_(m)","7800","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Acipenser fulvescens","Acipenser fulvescens","Acipenser fulvescens","Animalia","Chordata",NA,"Acipenseriformes","Acipenseridae","gbif","GBIF:2402120","radio-tracking","Trested et al. 2011","Mean_dispersal_distance_(m)","10881","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Acipenser fulvescens","Acipenser fulvescens","Acipenser fulvescens","Animalia","Chordata",NA,"Acipenseriformes","Acipenseridae","gbif","GBIF:2402120","radio-tracking","Huddleston 2006","Mean_dispersal_distance_(m)","20028.24","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Acipenser oxyrinchus","Acipenser oxyrinchus","Acipenser oxyrinchus","Animalia","Chordata",NA,"Acipenseriformes","Acipenseridae","gbif","GBIF:4287132","radio-tracking","Moser & Ross 1995","Mean_dispersal_distance_(m)","37375","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Acipenser transmontanus","Acipenser transmontanus","Acipenser transmontanus","Animalia","Chordata",NA,"Acipenseriformes","Acipenseridae","gbif","GBIF:2402122","mark-release-recapture","Hoefs 2004","Mean_dispersal_distance_(m)","11252.94","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Alosa sapidissima","Alosa sapidissima","Alosa sapidissima","Animalia","Chordata",NA,"Clupeiformes","Clupeidae","gbif","GBIF:2412661","radio-tracking","Bailey et al. 2004","Mean_dispersal_distance_(m)","8397.44","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Alosa sapidissima","Alosa sapidissima","Alosa sapidissima","Animalia","Chordata",NA,"Clupeiformes","Clupeidae","gbif","GBIF:2412661","radio-tracking","Bailey et al. 2004","Mean_dispersal_distance_(m)","12239.58","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Ambloplites rupestris","Ambloplites rupestris","Ambloplites rupestris","Animalia","Chordata",NA,"Perciformes","Centrarchidae","gbif","GBIF:2394514","mark-release-recapture","Gatz & Adams 1994","Mean_dispersal_distance_(m)","68.41","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Ambloplites rupestris","Ambloplites rupestris","Ambloplites rupestris","Animalia","Chordata",NA,"Perciformes","Centrarchidae","gbif","GBIF:2394514","mark-release-recapture","Brown 1961","Mean_dispersal_distance_(m)","1569.11","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Ambloplites rupestris","Ambloplites rupestris","Ambloplites rupestris","Animalia","Chordata",NA,"Perciformes","Centrarchidae","gbif","GBIF:2394514","mark-release-recapture","Funk 1957","Mean_dispersal_distance_(m)","7188.92","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Ameiurus talis","Ameiurus talis",NA,NA,NA,NA,NA,NA,NA,NA,"mark-release-recapture","Funk 1957","Mean_dispersal_distance_(m)","2333.54","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Anablepsoides hartii","Anablepsoides hartii","Anablepsoides hartii","Animalia","Chordata",NA,"Cyprinodontiformes","Rivulidae","gbif","GBIF:7924816","mark-release-recapture","Gilliam & Fraser 2001","Mean_dispersal_distance_(m)","6.77","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Anablepsoides hartii","Anablepsoides hartii","Anablepsoides hartii","Animalia","Chordata",NA,"Cyprinodontiformes","Rivulidae","gbif","GBIF:7924816","mark-release-recapture","Gilliam & Fraser 2001","Mean_dispersal_distance_(m)","32.83","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Anguilla australis australis","Anguilla australis australis",NA,NA,NA,NA,NA,NA,NA,NA,"radio-tracking","Jellyman & Skykes 2003","Mean_dispersal_distance_(m)","8.25","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Anguilla australis australis","Anguilla australis australis",NA,NA,NA,NA,NA,NA,NA,NA,"radio-tracking","Jellyman & Skykes 2003","Mean_dispersal_distance_(m)","15.28","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Anguilla dieffenbachii","Anguilla dieffenbachii","Anguilla dieffenbachii","Animalia","Chordata",NA,"Anguilliformes","Anguillidae","gbif","GBIF:5213018","radio-tracking","Jellyman & Skykes 2003","Mean_dispersal_distance_(m)","9.2","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Anguilla dieffenbachii","Anguilla dieffenbachii","Anguilla dieffenbachii","Animalia","Chordata",NA,"Anguilliformes","Anguillidae","gbif","GBIF:5213018","radio-tracking","Jellyman & Skykes 2003","Mean_dispersal_distance_(m)","12.98","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Anguilla dieffenbachii","Anguilla dieffenbachii","Anguilla dieffenbachii","Animalia","Chordata",NA,"Anguilliformes","Anguillidae","gbif","GBIF:5213018","radio-tracking","Jellyman & Skykes 2003","Mean_dispersal_distance_(m)","33.78","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Anguilla dieffenbachii","Anguilla dieffenbachii","Anguilla dieffenbachii","Animalia","Chordata",NA,"Anguilliformes","Anguillidae","gbif","GBIF:5213018","radio-tracking","Jellyman & Skykes 2003","Mean_dispersal_distance_(m)","37.49","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Anguilla dieffenbachii","Anguilla dieffenbachii","Anguilla dieffenbachii","Animalia","Chordata",NA,"Anguilliformes","Anguillidae","gbif","GBIF:5213018","radio-tracking","Jellyman & Skykes 2003","Mean_dispersal_distance_(m)","41.87","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Anguilla dieffenbachii","Anguilla dieffenbachii","Anguilla dieffenbachii","Animalia","Chordata",NA,"Anguilliformes","Anguillidae","gbif","GBIF:5213018","radio-tracking","Jellyman & Skykes 2003","Mean_dispersal_distance_(m)","42.02","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Anguilla japonica","Anguilla japonica","Anguilla japonica","Animalia","Chordata",NA,"Anguilliformes","Anguillidae","gbif","GBIF:5213022","mark-release-recapture","Lin et al. 2012","Mean_dispersal_distance_(m)","924.91","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
"Anguilla japonica","Anguilla japonica","Anguilla japonica","Animalia","Chordata",NA,"Anguilliformes","Anguillidae","gbif","GBIF:5213022","mark-release-recapture","Lin et al. 2012","Mean_dispersal_distance_(m)","939.56","MeanDispersalDistance","Comte & Olden","m",NA,"movement study"
