"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","ObservationType","Source","Field","DispersalDistance","Code","Database","Unit","Sex"
"Abramis brama","Abramis brama","Abramis brama","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:9809222","Radio-tracking","Lyons & Lucas 2002","Mean_dispersal_distance_(m)","347.02","MeanDispersalDistance","Comte & Olden","m",NA
"Abramis brama","Abramis brama","Abramis brama","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:9809222","Radio-tracking","Donnelly et al. 1998","Mean_dispersal_distance_(m)","664.6","MeanDispersalDistance","Comte & Olden","m",NA
"Alosa sapidissima","Alosa sapidissima","Alosa sapidissima","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","gbif","GBIF:2412661","Radio-tracking","Bailey et al. 2004","Mean_dispersal_distance_(m)","8397.44","MeanDispersalDistance","Comte & Olden","m",NA
"Alosa sapidissima","Alosa sapidissima","Alosa sapidissima","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","gbif","GBIF:2412661","Radio-tracking","Bailey et al. 2004","Mean_dispersal_distance_(m)","12239.58","MeanDispersalDistance","Comte & Olden","m",NA
"Ambloplites rupestris","Ambloplites rupestris","Ambloplites rupestris","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","gbif","GBIF:2394514","Mark-Recapture","Gatz & Adams 1994","Mean_dispersal_distance_(m)","68.41","MeanDispersalDistance","Comte & Olden","m",NA
"Ambloplites rupestris","Ambloplites rupestris","Ambloplites rupestris","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","gbif","GBIF:2394514","Mark-Recapture","Brown 1961","Mean_dispersal_distance_(m)","1569.11","MeanDispersalDistance","Comte & Olden","m",NA
"Ambloplites rupestris","Ambloplites rupestris","Ambloplites rupestris","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","gbif","GBIF:2394514","Mark-Recapture","Funk 1957","Mean_dispersal_distance_(m)","7188.92","MeanDispersalDistance","Comte & Olden","m",NA
"Barbus barbus","Barbus barbus","Barbus barbus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:5739539","Mark-Recapture","Vilizzi et al. 2006","Mean_dispersal_distance_(m)","202","MeanDispersalDistance","Comte & Olden","m",NA
"Barbus barbus","Barbus barbus","Barbus barbus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:5739539","Mark-Recapture","Penczak 2006","Mean_dispersal_distance_(m)","257.73","MeanDispersalDistance","Comte & Olden","m",NA
"Barbus barbus","Barbus barbus","Barbus barbus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:5739539","Mark-Recapture","Hunt & Jones 1974","Mean_dispersal_distance_(m)","1460.65","MeanDispersalDistance","Comte & Olden","m",NA
"Barbus barbus","Barbus barbus","Barbus barbus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:5739539","Radio-tracking","Lucas & Batley 1996","Mean_dispersal_distance_(m)","7696.92","MeanDispersalDistance","Comte & Olden","m",NA
"Barbus barbus","Barbus barbus","Barbus barbus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:5739539","Radio-tracking","Lucas & Batley 1996","Mean_dispersal_distance_(m)","8483.64","MeanDispersalDistance","Comte & Olden","m",NA
"Chrosomus eos","Chrosomus eos","Chrosomus eos","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:2365385","Mark-Recapture","Walker et al. 2013","Mean_dispersal_distance_(m)","12.2","MeanDispersalDistance","Comte & Olden","m",NA
"Chrosomus eos","Chrosomus eos","Chrosomus eos","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:2365385","Mark-Recapture","Walker et al. 2013","Mean_dispersal_distance_(m)","20.4","MeanDispersalDistance","Comte & Olden","m",NA
"Chrosomus eos","Chrosomus eos","Chrosomus eos","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:2365385","Mark-Recapture","Walker et al. 2013","Mean_dispersal_distance_(m)","25.5","MeanDispersalDistance","Comte & Olden","m",NA
"Chrosomus eos","Chrosomus eos","Chrosomus eos","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:2365385","Mark-Recapture","Walker et al. 2013","Mean_dispersal_distance_(m)","26.6","MeanDispersalDistance","Comte & Olden","m",NA
"Chrosomus eos","Chrosomus eos","Chrosomus eos","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:2365385","Mark-Recapture","Walker et al. 2013","Mean_dispersal_distance_(m)","43.2","MeanDispersalDistance","Comte & Olden","m",NA
"Chrosomus eos","Chrosomus eos","Chrosomus eos","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:2365385","Mark-Recapture","Walker et al. 2013","Mean_dispersal_distance_(m)","99.7","MeanDispersalDistance","Comte & Olden","m",NA
"Chrosomus eos","Chrosomus eos","Chrosomus eos","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:2365385","Mark-Recapture","Walker et al. 2013","Mean_dispersal_distance_(m)","104.2","MeanDispersalDistance","Comte & Olden","m",NA
"Chrosomus eos","Chrosomus eos","Chrosomus eos","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:2365385","Mark-Recapture","Walker et al. 2013","Mean_dispersal_distance_(m)","148.2","MeanDispersalDistance","Comte & Olden","m",NA
"Cottus gobio","Cottus gobio","Cottus gobio","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","gbif","GBIF:7807208","Mark-Recapture","Knaepkens et al. 2004","Mean_dispersal_distance_(m)","5.78","MeanDispersalDistance","Comte & Olden","m",NA
"Cottus gobio","Cottus gobio","Cottus gobio","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","gbif","GBIF:7807208","Mark-Recapture","Downhower et al. 1990","Mean_dispersal_distance_(m)","6.44","MeanDispersalDistance","Comte & Olden","m",NA
"Cottus gobio","Cottus gobio","Cottus gobio","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","gbif","GBIF:7807208","Mark-Recapture","Knaepkens et al. 2005","Mean_dispersal_distance_(m)","14.04","MeanDispersalDistance","Comte & Olden","m",NA
"Cottus gobio","Cottus gobio","Cottus gobio","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","gbif","GBIF:7807208","Mark-Recapture","Knaepkens et al. 2004","Mean_dispersal_distance_(m)","15.08","MeanDispersalDistance","Comte & Olden","m",NA
"Cottus gobio","Cottus gobio","Cottus gobio","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","gbif","GBIF:7807208","Mark-Recapture","Knaepkens et al. 2004","Mean_dispersal_distance_(m)","18","MeanDispersalDistance","Comte & Olden","m",NA
"Cottus gobio","Cottus gobio","Cottus gobio","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","gbif","GBIF:7807208","Mark-Recapture","Knaepkens et al. 2005","Mean_dispersal_distance_(m)","23.04","MeanDispersalDistance","Comte & Olden","m",NA
"Cottus gobio","Cottus gobio","Cottus gobio","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","gbif","GBIF:7807208","Mark-Recapture","Downhower et al. 1990","Mean_dispersal_distance_(m)","25.1","MeanDispersalDistance","Comte & Olden","m",NA
"Cottus gobio","Cottus gobio","Cottus gobio","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","gbif","GBIF:7807208","Mark-Recapture","Knaepkens et al. 2005","Mean_dispersal_distance_(m)","28.56","MeanDispersalDistance","Comte & Olden","m",NA
"Cottus gobio","Cottus gobio","Cottus gobio","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","gbif","GBIF:7807208","Mark-Recapture","Fischer & Kummer 2000","Mean_dispersal_distance_(m)","37.47","MeanDispersalDistance","Comte & Olden","m",NA
"Cottus gobio","Cottus gobio","Cottus gobio","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","gbif","GBIF:7807208","Mark-Recapture","Knaepkens et al. 2004","Mean_dispersal_distance_(m)","133","MeanDispersalDistance","Comte & Olden","m",NA
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4286975","Radio-tracking","Butler & Wahl 2010","Mean_dispersal_distance_(m)","21.19","MeanDispersalDistance","Comte & Olden","m",NA
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4286975","Radio-tracking","Brown et al. 2001","Mean_dispersal_distance_(m)","29.4","MeanDispersalDistance","Comte & Olden","m",NA
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4286975","Radio-tracking","Butler & Wahl 2010","Mean_dispersal_distance_(m)","42.38","MeanDispersalDistance","Comte & Olden","m",NA
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4286975","Radio-tracking","Crook 2004","Mean_dispersal_distance_(m)","140.75","MeanDispersalDistance","Comte & Olden","m",NA
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4286975","Radio-tracking","Butler & Wahl 2010","Mean_dispersal_distance_(m)","149.84","MeanDispersalDistance","Comte & Olden","m",NA
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4286975","Radio-tracking","Butler & Wahl 2010","Mean_dispersal_distance_(m)","157.41","MeanDispersalDistance","Comte & Olden","m",NA
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4286975","Radio-tracking","Brown et al. 2001","Mean_dispersal_distance_(m)","204.71","MeanDispersalDistance","Comte & Olden","m",NA
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4286975","Radio-tracking","Butler & Wahl 2010","Mean_dispersal_distance_(m)","230.05","MeanDispersalDistance","Comte & Olden","m",NA
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4286975","Radio-tracking","Butler & Wahl 2010","Mean_dispersal_distance_(m)","242.16","MeanDispersalDistance","Comte & Olden","m",NA
