"scientificName","cadillac","Kingdom","Phylum","Class","Order","Family","Body.Length","Unit","Measurement.Type","Metric","Number.of.Individuals","Sex","Age","Lifestage","Level","Searched.By","Notes","Citation","Link","Time.Searched"
"Aricidea catherinae","n","Animalia","Annelida","Polychaeta",NA,"Paraonidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Amphictene auricoma","n","Animalia","Annelida","Polychaeta",NA,"Pectinariidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Phyllodoce groenlandica","n","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Phyllodoce rosea","n","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Anobothrus gracilis","n","Animalia","Annelida","Polychaeta",NA,"Ampharetidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Aonides paucibranchiata","n","Animalia","Annelida","Polychaeta",NA,"Spionidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Chaetozone setosa","n","Animalia","Annelida","Polychaeta",NA,"Cirratulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Clymenella torquata","n","Animalia","Annelida","Polychaeta",NA,"Maldanidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Diopatra marocensis","n","Animalia","Annelida","Polychaeta","Eunicida","Onuphidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Diopatra neapolitana","y","Animalia","Annelida","Polychaeta","Eunicida","Onuphidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Diopatra sp.","y","Animalia","Annelida","Polychaeta","Eunicida","Onuphidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Diplocirrus glaucus","n","Animalia","Annelida","Polychaeta",NA,"Flabelligeridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Galeolaria caespitosa","y","Animalia","Annelida","Polychaeta","Sabellida","Serpulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Glycera alba","n","Animalia","Annelida","Polychaeta","Phyllodocida","Glyceridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Glycera americana","n","Animalia","Annelida","Polychaeta","Phyllodocida","Glyceridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Glycera lapidum","n","Animalia","Annelida","Polychaeta","Phyllodocida","Glyceridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Glycinde nordmanni","n","Animalia","Annelida","Polychaeta","Phyllodocida","Goniadidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Glycinde multidens","n","Animalia","Annelida","Polychaeta","Phyllodocida","Goniadidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Goniada maculata","n","Animalia","Annelida","Polychaeta","Phyllodocida","Goniadidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Lagis koreni","n","Animalia","Annelida","Polychaeta",NA,"Pectinariidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Lanice conchilega","n","Animalia","Annelida","Polychaeta",NA,"Terebellidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Levinsenia gracilis","n","Animalia","Annelida","Polychaeta",NA,"Paraonidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Magelona alleni","n","Animalia","Annelida","Polychaeta",NA,"Magelonidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Nephtys caeca","n","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Nephtys cirrosa","n","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Nephtys hombergii","n","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Nephtys longosetosa","n","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Nephtys picta","n","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Notomastus latericeus","n","Animalia","Annelida","Polychaeta",NA,"Capitellidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Ophelina acuminata","n","Animalia","Annelida","Polychaeta",NA,"Opheliidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Oxydromus flexuosus","n","Animalia","Annelida","Polychaeta","Phyllodocida","Hesionidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Owenia fusiformis","n","Animalia","Annelida","Polychaeta","Sabellida","Oweniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Paraprionospio pinnata","n","Animalia","Annelida","Polychaeta",NA,"Spionidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pectinaria gouldii","n","Animalia","Annelida","Polychaeta",NA,"Pectinariidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Poecilochaetus serpens","n","Animalia","Annelida","Polychaeta",NA,"Poecilochaetidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Polydora cornuta","n","Animalia","Annelida","Polychaeta",NA,"Spionidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Sabellaria alveolata","n","Animalia","Annelida","Polychaeta","Sabellida","Sabellariidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Sabellaria vulgaris","n","Animalia","Annelida","Polychaeta","Sabellida","Sabellariidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Scalibregma inflatum","n","Animalia","Annelida","Polychaeta",NA,"Scalibregmatidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
