scientificName,family,order,class,phylum,kingdom,LifeSpan,Unit,Source,Metric,Source
Tinca tinca,Cyprinidae,Cypriniformes,Actinopterygii,Chordata,Animalia,,,,,
Salix alba,Polycitoridae,Aplousobranchia,Ascidiacea,Chordata,Animalia,,,,,
Crepidula fornicata,Calyptraeidae,Littorinimorpha,Gastropoda,Mollusca,Animalia,,,,,
Arcuatula senhousia,Mytilidae,Mytilida,Bivalvia,Mollusca,Animalia,,,,,
Paralithodes camtschaticus,Lithodidae,Decapoda,Malacostraca,Arthropoda,Animalia,,,,,
Metacarcinus magister,Cancridae,Decapoda,Malacostraca,Arthropoda,Animalia,,,,,
Asterias amurensis,Asteriidae,Forcipulatida,Asteroidea,Echinodermata,Animalia,,,,,
Littorina littorea,Littorinidae,Littorinimorpha,Gastropoda,Mollusca,Animalia,,,,,
Haliotis rubra,Haliotidae,Lepetellida,Gastropoda,Mollusca,Animalia,,,,,
Austrominius modestus,Elminiidae,NA,NA,Arthropoda,Animalia,,,,,
Malurus splendens,Maluridae,Passeriformes,Aves,Chordata,Animalia,11,yrs,anAge,Maximum longevity in wild (years),ref.Ê1305
Recurvirostra americana,Recurvirostridae,Charadriiformes,Aves,Chordata,Animalia,,,,,
Aglais urticae,Nymphalidae,Lepidoptera,Insecta,Arthropoda,Animalia,,,,,
Danaus plexippus,Nymphalidae,Lepidoptera,Insecta,Arthropoda,Animalia,,,,,
Dendrocopus major,NA,NA,Aves,Chordata,Animalia,,,,,
Lacerta agilis,Lacertidae,Squamata,Reptilia,Chordata,Animalia,,,,,
Mustelus palumbes,Triakidae,Carcharhiniformes,Elasmobranchii,Chordata,Animalia,,,,,
Parus montanus,Paridae,Passeriformes,Aves,Chordata,Animalia,,,,,
Spodoptera exigua,Noctuidae,Lepidoptera,Insecta,Arthropoda,Animalia,,,,,
Syrphus ribesii,Syrphidae,Diptera,Insecta,Arthropoda,Animalia,,,,,
Xiphias gladius,Xiphiidae,Perciformes,Actinopterygii,Chordata,Animalia,,,,,
