"SpeciesChecked","Taxa","LifeSpan","Database","Field","Unit","phylum","class","order","family","genus","species"
"Accipiter cooperii","Accipiter cooperii","20.33333333","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter cooperii"
"Accipiter gentilis","Accipiter gentilis","22","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter gentilis"
"Accipiter nisus","Accipiter nisus","20.25","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus"
"Aquila chrysaetos","Aquila chrysaetos","48","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila chrysaetos"
"Buteo buteo","Buteo buteo","28.8","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo buteo"
"Buteo jamaicensis","Buteo jamaicensis","30.66666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo jamaicensis"
"Buteo lineatus","Buteo lineatus","22.41666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo lineatus"
"Buteo regalis","Buteo regalis","23.7","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo regalis"
"Circus cyaneus","Circus cyaneus","17.1","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus cyaneus"
"Circus cyaneus","Circus hudsonius","17.1","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus cyaneus"
"Elanus leucurus","Elanus leucurus","6","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Elanus","Elanus leucurus"
"Haliaeetus leucocephalus","Haliaeetus leucocephalus","48","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Haliaeetus","Haliaeetus leucocephalus"
"Parabuteo unicinctus","Parabuteo unicinctus","25","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Parabuteo","Parabuteo unicinctus"
"Cathartes aura","Cathartes aura","20.8","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Accipitriformes","Cathartidae","Cathartes","Cathartes aura"
"Pandion haliaetus","Pandion haliaetus","32","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus"
"Aix sponsa","Aix sponsa","22.5","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Anseriformes","Anatidae","Aix","Aix sponsa"
"Anas acuta","Anas acuta","27.417","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas acuta"
"Anas platyrhynchos","Anas diazi","29.1","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas platyrhynchos"
"Anas fulvigula","Anas fulvigula","29.1","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas fulvigula"
"Anas platyrhynchos","Anas platyrhynchos","29.1","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas platyrhynchos"
"Aythya affinis","Aythya affinis","18.8","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya affinis"
"Branta canadensis","Branta canadensis","42","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Anseriformes","Anatidae","Branta","Branta canadensis"
"Bucephala clangula","Bucephala clangula","18.41666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Anseriformes","Anatidae","Bucephala","Bucephala clangula"
"Cygnus buccinator","Cygnus buccinator","32.5","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus buccinator"
"Cygnus olor","Cygnus olor","70","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus olor"
"Lophodytes cucullatus","Lophodytes cucullatus","14.5","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Anseriformes","Anatidae","Lophodytes","Lophodytes cucullatus"
"Melanitta fusca","Melanitta deglandi","21.41666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Anseriformes","Anatidae","Melanitta","Melanitta fusca"
