"study_id","cv_type","mean_cv_studylevel","sd_cv_studylevel","species_studyid","range_source","mean_cv_sppspecific","sd_cv_sppspecific","p10_cv_sppspecific","p90_cv_sppspecific"
"B751_P1","map_110km_gVelLat",0.89045262347477,1.30245171193961,"Acer saccharum_B751_P1","IUCN",0.298976143927507,1.19055097821148,-1.20688115358353,1.6956262588501
"B751_P1","map_110km_gVelLat",0.89045262347477,1.30245171193961,"Acer saccharum_B751_P1","BIEN",0.437776145241831,1.14788819648649,-0.883980333805084,2.07737741470337
"B751_P1","map_110km_gVelLat",0.89045262347477,1.30245171193961,"Acer saccharum_B751_P1","GBIF occurrence",0.768352293247437,1.27008111039332,-0.501485407352448,2.35007131099701
"B751_P1","map_110km_gVelLat",0.89045262347477,1.30245171193961,"Fagus grandifolia_B751_P1","IUCN",0.292827184566043,1.26054265512277,-1.20688115358353,1.6956262588501
"B751_P1","map_110km_gVelLat",0.89045262347477,1.30245171193961,"Fagus grandifolia_B751_P1","BIEN",0.223151575427416,1.06602751148963,-1.20688115358353,1.4506644487381
"B751_P1","map_110km_gVelLat",0.89045262347477,1.30245171193961,"Fagus grandifolia_B751_P1","GBIF occurrence",0.490284047075617,1.21153185865009,-0.889215648174286,2.12941160202026
"B751_P1","map_110km_gVelLat",0.89045262347477,1.30245171193961,"Acer rubrum_B751_P1","IUCN",0.265007240626101,1.17594596009692,-1.24462609887123,1.6911872625351
"B751_P1","map_110km_gVelLat",0.89045262347477,1.30245171193961,"Acer rubrum_B751_P1","BIEN",0.201546529662751,1.06937883095764,-1.24462609887123,1.48814305067062
"B751_P1","map_110km_gVelLat",0.89045262347477,1.30245171193961,"Acer rubrum_B751_P1","GBIF occurrence",0.780033264727739,1.30000688194818,-0.546578824520111,2.58009905815125
"B751_P1","map_110km_gVelLat",0.89045262347477,1.30245171193961,"Betula alleghaniensis_B751_P1","BIEN",0.258791985728268,1.1654625737549,-1.20688115358353,1.69002413749695
"B751_P1","map_110km_gVelLat",0.89045262347477,1.30245171193961,"Betula alleghaniensis_B751_P1","GBIF occurrence",0.814835781231523,1.32133552225501,-0.495064198970795,2.67607574462891
"B751_P1","map_1km_gVelLat",-2.58189407107409e-05,0.028568325518093,"Acer saccharum_B751_P1","IUCN",6.90704916233968e-05,0.0269161079002785,-0.0287247039377689,0.0286538977175951
"B751_P1","map_1km_gVelLat",-2.58189407107409e-05,0.028568325518093,"Acer saccharum_B751_P1","BIEN",-6.81634536920669e-05,0.0263856685329805,-0.028993720933795,0.0284090554341674
"B751_P1","map_1km_gVelLat",-2.58189407107409e-05,0.028568325518093,"Acer saccharum_B751_P1","GBIF occurrence",-0.000194096044921609,0.0256444410854186,-0.0279192056506872,0.026993390545249
"B751_P1","map_1km_gVelLat",-2.58189407107409e-05,0.028568325518093,"Fagus grandifolia_B751_P1","IUCN",0.000232985165318494,0.0289854503867887,-0.0304808113723993,0.0314215309917927
"B751_P1","map_1km_gVelLat",-2.58189407107409e-05,0.028568325518093,"Fagus grandifolia_B751_P1","BIEN",1.55065451543233e-06,0.0262356188263108,-0.0269260291010141,0.0265871532261372
"B751_P1","map_1km_gVelLat",-2.58189407107409e-05,0.028568325518093,"Fagus grandifolia_B751_P1","GBIF occurrence",-0.000147026298936816,0.0265100253237357,-0.0293099572882056,0.0284747313708067
"B751_P1","map_1km_gVelLat",-2.58189407107409e-05,0.028568325518093,"Acer rubrum_B751_P1","IUCN",7.7428262513637e-05,0.0267479664401261,-0.028240480273962,0.02820601221174
"B751_P1","map_1km_gVelLat",-2.58189407107409e-05,0.028568325518093,"Acer rubrum_B751_P1","BIEN",-8.8301184026269e-06,0.0268629339398047,-0.0283547880128026,0.0281012268736959
"B751_P1","map_1km_gVelLat",-2.58189407107409e-05,0.028568325518093,"Acer rubrum_B751_P1","GBIF occurrence",-0.000208045352923786,0.0254995388120695,-0.0278634238988161,0.0268330069258809
"B751_P1","map_1km_gVelLat",-2.58189407107409e-05,0.028568325518093,"Betula alleghaniensis_B751_P1","BIEN",0.00021974673509172,0.0270817881864909,-0.02836585752666,0.0288016237318516
"B751_P1","map_1km_gVelLat",-2.58189407107409e-05,0.028568325518093,"Betula alleghaniensis_B751_P1","GBIF occurrence",-0.000343039686246865,0.0269262760864854,-0.0299987401813269,0.0286692839115858
"B751_P1","map_25km_gVelLat",0.322395412467659,0.913469636222277,"Acer saccharum_B751_P1","IUCN",0.00763381758171157,0.753491224426092,-0.850931549072266,0.877580058574678
"B751_P1","map_25km_gVelLat",0.322395412467659,0.913469636222277,"Acer saccharum_B751_P1","BIEN",0.0699336463148691,0.776205414009199,-0.794901543855667,1.04378108978272
"B751_P1","map_25km_gVelLat",0.322395412467659,0.913469636222277,"Acer saccharum_B751_P1","GBIF occurrence",0.226863228557224,0.857314279956042,-0.668819063901901,1.38719574213028
"B751_P1","map_25km_gVelLat",0.322395412467659,0.913469636222277,"Fagus grandifolia_B751_P1","IUCN",0.111513010990124,0.663564253185446,-0.526571071147919,0.990117812156677
"B751_P1","map_25km_gVelLat",0.322395412467659,0.913469636222277,"Fagus grandifolia_B751_P1","BIEN",0.0140667781065968,0.583258712065423,-0.552460694313049,0.623013401031495
"B751_P1","map_25km_gVelLat",0.322395412467659,0.913469636222277,"Fagus grandifolia_B751_P1","GBIF occurrence",0.0738832049407632,0.788105840178434,-0.880375719070434,1.05896050930023
"B751_P1","map_25km_gVelLat",0.322395412467659,0.913469636222277,"Acer rubrum_B751_P1","IUCN",0.00472698835671244,0.729377756024689,-0.782347965240478,0.837161827087402
"B751_P1","map_25km_gVelLat",0.322395412467659,0.913469636222277,"Acer rubrum_B751_P1","BIEN",-0.0216432536888831,0.622445271866325,-0.758373808860779,0.612212216854096
"B751_P1","map_25km_gVelLat",0.322395412467659,0.913469636222277,"Acer rubrum_B751_P1","GBIF occurrence",0.175676645031762,0.835198057728149,-0.718281233310699,1.25948240756989
"B751_P1","map_25km_gVelLat",0.322395412467659,0.913469636222277,"Betula alleghaniensis_B751_P1","BIEN",0.00546875738375855,0.706136562337807,-0.732971948385238,0.833449929952622
"B751_P1","map_25km_gVelLat",0.322395412467659,0.913469636222277,"Betula alleghaniensis_B751_P1","GBIF occurrence",0.22855096352549,0.89352942075024,-0.701875531673431,1.4217444896698
"B751_P1","map_50km_gVelLat",0.601144350506619,1.10292225796564,"Acer saccharum_B751_P1","IUCN",0.0466447294053955,0.945982686838776,-1.09208037853241,1.22737073898315
"B751_P1","map_50km_gVelLat",0.601144350506619,1.10292225796564,"Acer saccharum_B751_P1","BIEN",0.12731429634366,0.930190729537115,-0.960816645622253,1.32514190673828
"B751_P1","map_50km_gVelLat",0.601144350506619,1.10292225796564,"Acer saccharum_B751_P1","GBIF occurrence",0.422770339726518,1.05965216931748,-0.753907787799835,1.74127798080444
"B751_P1","map_50km_gVelLat",0.601144350506619,1.10292225796564,"Fagus grandifolia_B751_P1","IUCN",0.212627464513831,0.87936738583266,-0.943987208604813,1.43479038476944
"B751_P1","map_50km_gVelLat",0.601144350506619,1.10292225796564,"Fagus grandifolia_B751_P1","BIEN",0.0149470078416547,0.789594221998725,-0.944873952865601,0.943391418457032
"B751_P1","map_50km_gVelLat",0.601144350506619,1.10292225796564,"Fagus grandifolia_B751_P1","GBIF occurrence",0.131684134867882,0.931054108809428,-0.960816645622253,1.32514190673828
"B751_P1","map_50km_gVelLat",0.601144350506619,1.10292225796564,"Acer rubrum_B751_P1","IUCN",0.0546829717627399,0.921543580451772,-0.952242910861969,1.19002330303192
"B751_P1","map_50km_gVelLat",0.601144350506619,1.10292225796564,"Acer rubrum_B751_P1","BIEN",0.0207478471097097,0.825933787483771,-0.952242910861969,0.991810977458954
"B751_P1","map_50km_gVelLat",0.601144350506619,1.10292225796564,"Acer rubrum_B751_P1","GBIF occurrence",0.367856109355207,1.05001854745377,-0.784210252761841,1.72039959430695
"B751_P1","map_50km_gVelLat",0.601144350506619,1.10292225796564,"Betula alleghaniensis_B751_P1","BIEN",0.0621523035465498,0.925695830116717,-0.960816645622253,1.21185483932495
"B751_P1","map_50km_gVelLat",0.601144350506619,1.10292225796564,"Betula alleghaniensis_B751_P1","GBIF occurrence",0.461015286559478,1.09862485734291,-0.742765069007874,1.96816688776016
"B751_P1","mat_110km_gVelLat",2.68596336933283,1.4713907094008,"Acer saccharum_B751_P1","IUCN",2.00695975096721,0.698140733706313,1.30766417980194,3.08164081573486
"B751_P1","mat_110km_gVelLat",2.68596336933283,1.4713907094008,"Acer saccharum_B751_P1","BIEN",2.3509562395621,1.10815888682146,1.32959306240082,4.06917390823364
"B751_P1","mat_110km_gVelLat",2.68596336933283,1.4713907094008,"Acer saccharum_B751_P1","GBIF occurrence",2.59759309110434,1.31129108924865,1.38974843025208,4.60097613334656
"B751_P1","mat_110km_gVelLat",2.68596336933283,1.4713907094008,"Fagus grandifolia_B751_P1","IUCN",1.97178222916343,0.753306562811133,1.30539734363556,3.08164081573486
"B751_P1","mat_110km_gVelLat",2.68596336933283,1.4713907094008,"Fagus grandifolia_B751_P1","BIEN",1.83875608444214,0.546163733600727,1.30766417980194,2.37714238166809
"B751_P1","mat_110km_gVelLat",2.68596336933283,1.4713907094008,"Fagus grandifolia_B751_P1","GBIF occurrence",2.40470992273359,1.12168447591108,1.32589817047119,4.069225025177
"B751_P1","mat_110km_gVelLat",2.68596336933283,1.4713907094008,"Acer rubrum_B751_P1","IUCN",1.9919077364298,0.696214091942361,1.30677051544189,3.08306937217712
"B751_P1","mat_110km_gVelLat",2.68596336933283,1.4713907094008,"Acer rubrum_B751_P1","BIEN",1.82587078071776,0.546128961000686,1.30677051544189,2.34902219772339
"B751_P1","mat_110km_gVelLat",2.68596336933283,1.4713907094008,"Acer rubrum_B751_P1","GBIF occurrence",2.44410983900006,1.12792699056552,1.38575866222382,4.09422912597656
"B751_P1","mat_110km_gVelLat",2.68596336933283,1.4713907094008,"Betula alleghaniensis_B751_P1","BIEN",1.98442983627319,0.691633099311507,1.30766417980194,3.08164081573486
"B751_P1","mat_110km_gVelLat",2.68596336933283,1.4713907094008,"Betula alleghaniensis_B751_P1","GBIF occurrence",2.5600497228034,1.30902591427235,1.37815674543381,4.54636044502258
"B751_P1","mat_1km_gVelLat",0.12928067593878,0.490182859262629,"Acer saccharum_B751_P1","IUCN",0.0722428465526875,0.338825111655865,-0.181571471691132,0.35817454457283
