"Database_name","trait","trait_common_name","useful_y_n"
"amniota","female_maturity_d",NA,NA
"amniota","litter_or_clutch_size_n",NA,NA
"amniota","litters_or_clutches_per_y",NA,NA
"amniota","adult_body_mass_g",NA,NA
"amniota","maximum_longevity_y",NA,NA
"amniota","gestation_d",NA,NA
"amniota","weaning_d",NA,NA
"amniota","birth_or_hatching_weight_g",NA,NA
"amniota","weaning_weight_g",NA,NA
"amniota","egg_mass_g",NA,NA
"amniota","incubation_d",NA,NA
"amniota","fledging_age_d",NA,NA
"amniota","longevity_y",NA,NA
"amniota","male_maturity_d",NA,NA
"amniota","inter_litter_or_interbirth_interval_y",NA,NA
"amniota","female_body_mass_g",NA,NA
"amniota","male_body_mass_g",NA,NA
"amniota","no_sex_body_mass_g",NA,NA
"amniota","egg_width_mm",NA,NA
"amniota","egg_length_mm",NA,NA
"amniota","fledging_mass_g",NA,NA
"amniota","adult_svl_cm",NA,NA
"amniota","male_svl_cm",NA,NA
"amniota","female_svl_cm",NA,NA
"amniota","birth_or_hatching_svl_cm",NA,NA
"amniota","female_svl_at_maturity_cm",NA,NA
"amniota","female_body_mass_at_maturity_g",NA,NA
"amniota","no_sex_svl_cm",NA,NA
"amniota","no_sex_maturity_d",NA,NA
"Amniote_Database 2015","female_maturity_d",NA,NA
"Amniote_Database 2015","litter_or_clutch_size_n",NA,NA
"Amniote_Database 2015","litters_or_clutches_per_y",NA,NA
"Amniote_Database 2015","adult_body_mass_g",NA,NA
"Amniote_Database 2015","maximum_longevity_y",NA,NA
"Amniote_Database 2015","gestation_d",NA,NA
"Amniote_Database 2015","weaning_d",NA,NA
"Amniote_Database 2015","birth_or_hatching_weight_g",NA,NA
"Amniote_Database 2015","weaning_weight_g",NA,NA
"Amniote_Database 2015","egg_mass_g",NA,NA
"Amniote_Database 2015","incubation_d",NA,NA
"Amniote_Database 2015","fledging_age_d",NA,NA
"Amniote_Database 2015","longevity_y",NA,NA
"Amniote_Database 2015","male_maturity_d",NA,NA
"Amniote_Database 2015","inter_litter_or_interbirth_interval_y",NA,NA
"Amniote_Database 2015","female_body_mass_g",NA,NA
"Amniote_Database 2015","male_body_mass_g",NA,NA
"Amniote_Database 2015","no_sex_body_mass_g",NA,NA
"Amniote_Database 2015","egg_width_mm",NA,NA
"Amniote_Database 2015","egg_length_mm",NA,NA
"Amniote_Database 2015","fledging_mass_g",NA,NA
"Amniote_Database 2015","adult_svl_cm",NA,NA
"Amniote_Database 2015","male_svl_cm",NA,NA
"Amniote_Database 2015","female_svl_cm",NA,NA
"Amniote_Database 2015","birth_or_hatching_svl_cm",NA,NA
"Amniote_Database 2015","female_svl_at_maturity_cm",NA,NA
"Amniote_Database 2015","female_body_mass_at_maturity_g",NA,NA
"Amniote_Database 2015","no_sex_svl_cm",NA,NA
"Amniote_Database 2015","no_sex_maturity_d",NA,NA
"AnAge","Female maturity (days)",NA,NA
"AnAge","Male maturity (days)",NA,NA
"AnAge","Gestation/Incubation (days)",NA,NA
"AnAge","Weaning (days)",NA,NA
"AnAge","Litter/Clutch size",NA,NA
"AnAge","Litters/Clutches per year",NA,NA
"AnAge","Inter-litter/Interbirth interval",NA,NA
"AnAge","Birth weight (g)",NA,NA
"AnAge","Weaning weight (g)",NA,NA
"AnAge","Adult weight (g)",NA,NA
"AnAge","Growth rate (1/days)",NA,NA
"AnAge","Maximum longevity (yrs)",NA,NA
"AnAge","IMR (per yr)",NA,NA
"AnAge","MRDT (yrs)",NA,NA
"AnAge","Metabolic rate (W)",NA,NA
"AnAge","Body mass (g)",NA,NA
"AnAge","Temperature (K)",NA,NA
"AVONET","Beak.Length_Culmen",NA,NA
"AVONET","Beak.Length_Nares",NA,NA
"AVONET","Beak.Width",NA,NA
"AVONET","Beak.Depth",NA,NA
"AVONET","Tarsus.Length",NA,NA
"AVONET","Wing.Length",NA,NA
"AVONET","Kipps.Distance",NA,NA
"AVONET","Secondary1",NA,NA
"AVONET","Hand-Wing.Index",NA,NA
"AVONET","Tail.Length",NA,NA
"AVONET","Mass",NA,NA
"AVONET","Habitat",NA,NA
"AVONET","Migration",NA,NA
"AVONET","Trophic.Level",NA,NA
"AVONET","Trophic.Niche",NA,NA
"AVONET","Primary.Lifestyle",NA,NA
"AVONET","Min.Latitude",NA,NA
"AVONET","Max.Latitude",NA,NA
"AVONET","Centroid.Latitude",NA,NA
"AVONET","Centroid.Longitude",NA,NA
"AVONET","Range.Size",NA,NA
"BioTIME_BodySize-0.1.1","TR_BodyLength_mm",NA,NA
"BioTIME_BodySize-0.1.1","TR_QualitativeBodySize",NA,NA
"BioTIME_BodySize-0.1.1","TR_Mean_LengthMax",NA,NA
"BioTIME_BodySize-0.1.1","TR_adult_body_mass_g",NA,NA
"BioTIME_BodySize-0.1.1","TR_Mean_SeedMass",NA,NA
"BioTIME_BodySize-0.1.1","TR_Max_Height",NA,NA
"EltonTraits","Diet (inv, scavenger, fish, fruit, nectar, seed, plant)",NA,NA
"EltonTraits","Trophic guild",NA,NA
"EltonTraits","Forest stratum",NA,NA
"EltonTraits","Pelagic (0/1)",NA,NA
"EltonTraits","Diel",NA,NA
"EltonTraits","Body mass",NA,NA
"GARD [appendix_1]","adult mass (g)",NA,NA
"GARD [appendix_1]","hatchling / neonate mass (g)",NA,NA
