Database_name,trait,trait_common_name,useful_y_n,notes
amniota,female_maturity_d,female_maturity_d,y,
amniota,litter_or_clutch_size_n,litter_or_clutch_size_n,y,
amniota,litters_or_clutches_per_y,litters_or_clutches_per_y,y,
amniota,adult_body_mass_g,adult_body_mass_g,y,
amniota,maximum_longevity_y,maximum_longevity_y,y,
amniota,gestation_d,gestation_d,y,
amniota,weaning_d,weaning_d,y,
amniota,birth_or_hatching_weight_g,NA,n,
amniota,weaning_weight_g,NA,n,
amniota,egg_mass_g,NA,n,
amniota,incubation_d,NA,n,
amniota,fledging_age_d,NA,n,
amniota,longevity_y,longevity_y,y,
amniota,male_maturity_d,male_maturity_d,y,
amniota,inter_litter_or_interbirth_interval_y,NA,n,
amniota,female_body_mass_g,female_body_mass_g,y,
amniota,male_body_mass_g,male_body_mass_g,y,
amniota,no_sex_body_mass_g,unsexed_body_mass_g,y,
amniota,egg_width_mm,NA,n,
amniota,egg_length_mm,NA,n,
amniota,fledging_mass_g,NA,n,
amniota,adult_svl_cm,NA,n,
amniota,male_svl_cm,NA,n,
amniota,female_svl_cm,NA,n,
amniota,birth_or_hatching_svl_cm,NA,n,
amniota,female_svl_at_maturity_cm,NA,n,
amniota,female_body_mass_at_maturity_g,NA,n,
amniota,no_sex_svl_cm,NA,n,
amniota,no_sex_maturity_d,NA,n,
AnAge,Female maturity (days),female_maturity_d,y,
AnAge,Male maturity (days),male_maturity_d,y,
AnAge,Gestation/Incubation (days),gestation_d,y,
AnAge,Weaning (days),weaning_d,y,
AnAge,Litter/Clutch size,litter_or_clutch_size_n,y,
AnAge,Litters/Clutches per year,litters_or_clutches_per_y,y,
AnAge,Inter-litter/Interbirth interval,NA,n,
AnAge,Birth weight (g),NA,n,
AnAge,Weaning weight (g),NA,n,
AnAge,Adult weight (g),adult_body_mass_g,y,
AnAge,Growth rate (1/days),growth_rate,y,
AnAge,Maximum longevity (yrs),maximum_longevity_y,y,
AnAge,IMR (per yr),NA,n,initial mortality rate per year
AnAge,MRDT (yrs),NA,n,mortality rate doubling time 
AnAge,Metabolic rate (W),NA,n,metabolic rate in weeks
AnAge,Body mass (g),adult_body_mass_g,y,"not specified whether adult, male or female - assume adult"
AnAge,Temperature (K),NA,n,
AVONET,Beak.Length_Culmen,NA,y,
AVONET,Beak.Length_Nares,NA,y,
AVONET,Beak.Width,NA,y,
AVONET,Beak.Depth,NA,y,
AVONET,Tarsus.Length,NA,y,
AVONET,Wing.Length,NA,y,
AVONET,Kipps.Distance,NA,y,
AVONET,Secondary1,NA,y,
AVONET,Hand-Wing.Index,NA,y,
AVONET,Tail.Length,NA,y,
AVONET,Mass,adult_body_mass_g,y,species average (male and female)
AVONET,Habitat,NA,n,
AVONET,Migration,NA,y,
AVONET,Trophic.Level,trophic_level,y,
AVONET,Trophic.Niche,trophic_niche,y,
AVONET,Primary.Lifestyle,NA,y,
AVONET,Min.Latitude,min_latitude_deg,y,
AVONET,Max.Latitude,max_latitude_deg,y,
AVONET,Centroid.Latitude,NA,n,
AVONET,Centroid.Longitude,NA,n,
AVONET,Range.Size,range_size_km2,y,
BioTIME_BodySize-0.1.1,TR_BodyLength_mm,NA,NA,
BioTIME_BodySize-0.1.1,TR_QualitativeBodySize,NA,NA,
