Database_name,trait,trait_common_name,useful_y_n,notes
Barton et al. 2013,feeding habit,NA,n,
BIEN,diameter at breast height (1.3 m),dbh,y,
BIEN,flower color,NA,n,
BIEN,flower pollination syndrome,NA,n,
BIEN,fruit type,NA,n,
BIEN,inflorescence length,NA,n,
BIEN,leaf area,NA,n,
BIEN,leaf area per leaf dry mass,NA,n,
BIEN,leaf carbon content per leaf dry mass,NA,n,
BIEN,leaf carbon content per leaf nitrogen content,NA,n,
BIEN,leaf compoundness,NA,n,
BIEN,leaf dry mass,NA,n,
BIEN,leaf dry mass per leaf fresh mass,NA,n,
BIEN,leaf fresh mass,NA,n,
BIEN,leaf lamina fracture toughness,NA,n,
BIEN,leaf life span,NA,n,
BIEN,leaf nitrogen content per leaf area,NA,n,
BIEN,leaf nitrogen content per leaf dry mass,NA,n,
BIEN,leaf phosphorus content per leaf area,NA,n,
BIEN,leaf phosphorus content per leaf dry mass,NA,n,
BIEN,leaf photosynthetic rate per leaf area,NA,n,
BIEN,leaf photosynthetic rate per leaf dry mass,NA,n,
BIEN,leaf relative growth rate,NA,n,
BIEN,leaf stomatal conductance for H2O per leaf area,NA,n,
BIEN,leaf stomatal conductance per leaf area,NA,n,
BIEN,leaf thickness,NA,n,
BIEN,longest whole plant longevity,maximum_longevity_y,y,
BIEN,maximum fruit length,NA,n,
BIEN,maximum leaf length,NA,n,
BIEN,maximum leaf width,NA,n,
BIEN,maximum whole plant height,maximum_whole_plant_height_m,y,
BIEN,maximum whole plant longevity,maximum_longevity_y,y,
BIEN,minimum fruit length,NA,n,
BIEN,minimum leaf length,NA,n,
BIEN,minimum leaf width,NA,n,
BIEN,minimum whole plant height,minimum_whole_plant_height_m,y,
BIEN,plant flowering begin,NA,n,
BIEN,plant flowering duration,NA,n,
BIEN,plant fruiting duration,NA,n,
BIEN,root dry mass,root_dry_mass_mg,y,
BIEN,seed length,NA,y,
BIEN,seed mass,NA,y,
BIEN,stem dry mass,NA,n,
BIEN,stem relative growth rate,NA,n,
BIEN,stem wood density,NA,n,
BIEN,vessel lumen area,NA,n,
BIEN,vessel number,NA,n,
BIEN,whole plant dispersal syndrome,dispersal_syndrome,y,
BIEN,whole plant growth form,NA,n,
BIEN,whole plant growth form diversity,NA,n,
BIEN,whole plant height,NA,n,
BIEN,whole plant primary juvenile period length,juvenile_period_length_y,y,
BIEN,whole plant sexual system,NA,n,
BIEN,whole plant vegetative phenology,NA,n,
BIEN,whole plant woodiness,NA,n,
BioTIME_BodySize-0.1.1,TR_BodyLength_mm,NA,n,
BioTIME_BodySize-0.1.1,TR_QualitativeBodySize,NA,n,
BioTIME_BodySize-0.1.1,TR_Mean_LengthMax,NA,n,
BioTIME_BodySize-0.1.1,TR_adult_body_mass_g,NA,n,
BioTIME_BodySize-0.1.1,TR_Mean_SeedMass,mean_log_seed_mass_unk,y,this is the log of the dry seed mass TRY data
BioTIME_BodySize-0.1.1,TR_Max_Height,maximum_height_unk,y,this is the Plant height vegetative TRY data 
BROT,GrowthForm,NA,n,
BROT,DispMode,dispersal_mode,y,
BROT,FruitType,NA,n,
BROT,RespFire,NA,n,
BROT,SeedlEmerg,NA,n,
BROT,Clonality,NA,n,
BROT,FruitMass,NA,n,
BROT,SeedMass,mean_dry_seed_mass_mg,y,
BROT,LeafDivision,NA,n,
BROT,LeafLifespan,NA,n,
BROT,LeafShape,NA,n,
BROT,LNCm,NA,n,
BROT,SLA,NA,n,
BROT,StemDensity,NA,n,
BROT,NutritionalRelat,NA,n,
BROT,LeafPhenology,NA,n,
BROT,Height,mean_height_m,y,
BROT,Lifespan,mean_maximum_longevity_y,y,
BROT,Diaspore,NA,n,
BROT,BudSource,NA,n,
BROT,SoilSeedBank,NA,n,
BROT,LeafArea,NA,n,
BROT,Spinescence,NA,n,
BROT,SeedShape,NA,n,
BROT,RespClip,NA,n,
BROT,MatResp,age_at_maturity_resprouts,y,
BROT,RootDepth,NA,n,
BROT,LDMC,NA,n,
BROT,ChemCues,NA,n,
BROT,OtherCues,NA,n,
BROT,P50,NA,n,
BROT,HeatStimGerm,NA,n,
BROT,FireStimFlower,NA,n,
BROT,BarkThick,NA,n,
BROT,CFFuel,NA,n,
BROT,DeadFuel,NA,n,
BROT,d13C,NA,n,
BROT,SRR,NA,n,
BROT,RespDist,resprouting_cap_after_disturbance,y,
BROT,MatSap,age_at_maturity_sapling_y,y,
BROT,SeedProd,annual_seed_production,y,
BROT,SeedlSurv,NA,n,
BROT,CanopySeedBank,NA,n,
BROT,SerotinyLevel,NA,n,
D3,fruit_type,NA,n,
D3,dia_type,NA,n,
D3,dia_exposure,exposure_of_diaspore,y,
D3,dia_hetero,NA,n,
D3,dia_app_nutrient,NA,n,
D3,dia_app_elon,NA,n,
D3,dia_app_hook,NA,n,
D3,dia_app_flat,NA,n,
D3,dia_app_ballo,NA,n,
D3,dia_app_muci,NA,n,
D3,dia_app_other,NA,n,
D3,dia_app_no,NA,n,
D3,dia_morph,NA,n,
D3,dia_mass,diaspore_mass_mg,y,
D3,dia_surfacestructure,NA,n,
D3,dia_length,NA,n,
D3,dia_width,NA,n,
D3,dia_height,NA,n,
D3,dia_shape,NA,n,
D3,dia_form,NA,n,
D3,vterm,NA,n,
D3,rank_ane,NA,n,
D3,rank_hydro,NA,n,
D3,rank_epi_wool,NA,n,
D3,diaspore_seeds_class,NA,n,
Edwards et al. 2015,volume,average_cell_volume_um3,y,
Edwards et al. 2015,c_per_cell,NA,n,
Edwards et al. 2015,c_citation,NA,n,
Edwards et al. 2015,mu_inf_amm,NA,n,
Edwards et al. 2015,mu_amm,NA,n,
Edwards et al. 2015,k_amm_m,NA,n,
Edwards et al. 2015,k_amm,NA,n,
Edwards et al. 2015,vmax_amm,NA,n,
Edwards et al. 2015,vmax_amm_c,NA,n,
Edwards et al. 2015,qmin_amm,NA,n,
Edwards et al. 2015,qmin_amm_c,NA,n,
Edwards et al. 2015,qmax_amm,NA,n,
Edwards et al. 2015,qmax_amm_c,NA,n,
Edwards et al. 2015,mu_inf_nit,NA,n,
Edwards et al. 2015,mu_nit,NA,n,
Edwards et al. 2015,k_nit_m,NA,n,
Edwards et al. 2015,k_nit,NA,n,
Edwards et al. 2015,vmax_nit,NA,n,
Edwards et al. 2015,vmax_nit_c,NA,n,
Edwards et al. 2015,qmin_nit,NA,n,
Edwards et al. 2015,qmin_nit_c,NA,n,
Edwards et al. 2015,qmax_nit,NA,n,
Edwards et al. 2015,qmax_nit_c,NA,n,
Edwards et al. 2015,mu_inf_p,NA,n,
Edwards et al. 2015,mu_p,NA,n,
Edwards et al. 2015,k_p_m,NA,n,
Edwards et al. 2015,k_p,NA,n,
