species	code	wingl	taill	tarsusl	tarsusw	tarsusd	tarsus csa	billl	bill_2	billd	billw	notch	Kipp	bowA1	tailg	bristle	dispersal-natal-gm	dispersal.SD	migration3c	mean.mass.BTO	Main.food	other.foods	summerwinterfood	feeding.breadth	foraging	btohabitat	open/closed	wet/dry
Alauda.arvensis	Ala arv	107.75	66.25	23.69	1.24	1.75	1.7	15.72	9.28	5.13	5.77	32.94	36.21	71.54	-6.19	5	0.302	23.1	1	37.615	seeds	insects	seeds	2	ground glean	farmland	o	d
Riparia.riparia	Rip rip	104.64	50.6	9.84	0.89	1.23	0.86	10.33	4.53	2.74	5.37		57.29	47.35	-8.48	2.5	6.65	22.8	3	13.235	insects		insects	1	aerial insectivore		o	d
Hirundo.rustica	Hir rus	125.2	109.86	10.54	0.94	1.43	1.05	12.23	5.58	3.01	6.83		68.94	56.26	-61.3	4	3.194	28.4	3	19.855	insects		insects	1	aerial insectivore		o	d
Delichon.urbicum	Del urb	108.74	61.11	10.85	1.03	1.34	0.96	9.89	4.83	2.97	5.82		59.8	48.94	-19.18	3	3.185	12.2	3	17.855	insects		insects	1	aerial insectivore	urban	o	d
Motacilla.flava	Mot fla	80.33	69.02	23	1.02	1.73	1.39	15.54	9.44	3.64	4.2		25.98	54.35	1.31	4	4.948	11.5	3	17.325	insects		insects	1	ground glean	farmland	o	w
Motacilla.cinerea	Mot cin	81.95	97.82	19.2	0.96	1.82	1.38	16.16	9.52	3.22	3.88	18.23	28.1	53.85	0.69	4	15.802	29.5	2	17.895	insects	aquatic invertebrates	insects	2	ground glean	upland	o	w
Motacilla.alba	Mot alb	86.99	84.47	22.28	1.1	1.85	1.6	15.83	9.37	3.76	4.44	21.25	29.06	57.93	-0.12	5	5.164	23.6	2	22.86	insects		insects	1	ground glean		o	w
Cinclus.cinclus	Cin cin	90.37	51.95	27.61	1.83	2.69	3.87	21.69	12.19	4.95	4.67	21.6	26.63	63.68	-0.29		1.678	10.9	1	64.195	aquatic invertebrates		aquatic invertebrates	1	ground glean	upland	o	w
Troglodytes.troglodytes	Tro tro	46.04	31.22	16.15	0.99	1.44	1.12	13.8	8.23	2.65	2.95	14.44	6.73	39.31	5.06		1.17	14.7	1	10.16	insects		insects	1	ground glean	woodland	c	w
Prunella.modularis	Pru mod	67.57	58.52	20.19	1.11	1.98	1.73	14.61	7.97	4.1	5.2	18	12.29	55.28	0.69	4.5	0.38	7.2	1	20.87	insects	seeds	insects	2	ground glean	woodland	c	d
