Species,Kingdom,Phylum,Class,Order,Family ,db,db_code,Body Length,Unit,Measurement Type,Metric,Number of Individuals,Sex,Age,Lifestage,Level,Searched By,Notes,Citation,Link,Time Searched
Acmira catherinae,Animalia,Annelida,Polychaeta,NA,Paraonidae,gbif,GBIF:2318541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Amphictene auricoma,Animalia,Annelida,Polychaeta,NA,Pectinariidae,gbif,GBIF:2324222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Anaitides groenlandica,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,gbif,GBIF:5195037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Phyllodoce groenlandica,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,gbif,GBIF:5195037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Phyllodoce rosea,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,gbif,GBIF:5195062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Anobothrus gracilis,Animalia,Annelida,Polychaeta,NA,Ampharetidae,gbif,GBIF:2325777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aonides paucibranchiata,Animalia,Annelida,Polychaeta,NA,Spionidae,gbif,GBIF:2321037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Chaetozone setosa,Animalia,Annelida,Polychaeta,NA,Cirratulidae,gbif,GBIF:2323974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Clymenella torquata,Animalia,Annelida,Polychaeta,NA,Maldanidae,gbif,GBIF:5197206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Diopatra marocensis,Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,gbif,GBIF:2323543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Diopatra neapolitana,Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,gbif,GBIF:2323503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Diopatra sp.,Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,Bioshifts_v1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Diopatra sp.,Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,Bioshifts_v2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Diplocirrus glaucus,Animalia,Annelida,Polychaeta,NA,Flabelligeridae,gbif,GBIF:2325554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Galeolaria caespitosa,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,gbif,GBIF:5200062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Glycera alba,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,gbif,GBIF:5195463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Glycera americana,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,gbif,GBIF:5195524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Glycera lapidum,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,gbif,GBIF:5195441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Glycinde nordmanni,Animalia,Annelida,Polychaeta,Phyllodocida,Goniadidae,gbif,GBIF:2316513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Glycinde solitaria,Animalia,Annelida,Polychaeta,Phyllodocida,Goniadidae,gbif,GBIF:2316509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Goniada maculata,Animalia,Annelida,Polychaeta,Phyllodocida,Goniadidae,gbif,GBIF:2316603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lagis koreni,Animalia,Annelida,Polychaeta,NA,Pectinariidae,gbif,GBIF:2324317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
