"X","SpeciesChecked","Taxa","Group","BodyLength","Database","Field","Unit","Code","Comment","kingdom","phylum","class","order","family","genus","species","new_name","group","temp","valid_species_name","SpeciesChecked.1","spnameoriginal"
"157","Arthroleptis wahlbergii","Arthroleptis wahlbergii","Anura","34.6","amphibio","Body_size_mm","mm","BodyLengthMean",NA,"Animalia","Chordata","Amphibia","Anura","Arthroleptidae","Arthroleptis","wahlbergii","Arthroleptis_wahlbergii","vertebrate","ectotherme","yes","Arthroleptis wahlbergii","Arthroleptis_wahlbergii"
"236","Leptopelis mossambicus","Leptopelis mossambicus","Anura","63","amphibio","Body_size_mm","mm","BodyLengthMean",NA,"Animalia","Chordata","Amphibia","Anura","Arthroleptidae","Leptopelis","mossambicus","Leptopelis_mossambicus","vertebrate","ectotherme","yes","Leptopelis mossambicus","Leptopelis_mossambicus"
"237","Leptopelis natalensis","Leptopelis natalensis","Anura","65","amphibio","Body_size_mm","mm","BodyLengthMean",NA,"Animalia","Chordata","Amphibia","Anura","Arthroleptidae","Leptopelis","natalensis","Leptopelis_natalensis","vertebrate","ectotherme","yes","Leptopelis natalensis","Leptopelis_natalensis"
"255","Leptopelis xenodactylus","Leptopelis xenodactylus","Anura","55","amphibio","Body_size_mm","mm","BodyLengthMean",NA,"Animalia","Chordata","Amphibia","Anura","Arthroleptidae","Leptopelis","xenodactylus","Leptopelis_xenodactylus","vertebrate","ectotherme","yes","Leptopelis xenodactylus","Leptopelis_xenodactylus"
"318","Breviceps acutirostris","Breviceps acutirostris","Anura","40","amphibio","Body_size_mm","mm","BodyLengthMean",NA,"Animalia","Chordata","Amphibia","Anura","Brevicipitidae","Breviceps","acutirostris","Breviceps_acutirostris","vertebrate","ectotherme","yes","Breviceps acutirostris","Breviceps_acutirostris"
"319","Breviceps adspersus","Breviceps adspersus","Anura","60","amphibio","Body_size_mm","mm","BodyLengthMean",NA,"Animalia","Chordata","Amphibia","Anura","Brevicipitidae","Breviceps","adspersus","Breviceps_adspersus","vertebrate","ectotherme","yes","Breviceps adspersus","Breviceps_adspersus"
"322","Breviceps fuscus","Breviceps fuscus","Anura","51","amphibio","Body_size_mm","mm","BodyLengthMean",NA,"Animalia","Chordata","Amphibia","Anura","Brevicipitidae","Breviceps","fuscus","Breviceps_fuscus","vertebrate","ectotherme","yes","Breviceps fuscus","Breviceps_fuscus"
"323","Breviceps gibbosus","Breviceps gibbosus","Anura","80","amphibio","Body_size_mm","mm","BodyLengthMean",NA,"Animalia","Chordata","Amphibia","Anura","Brevicipitidae","Breviceps","gibbosus","Breviceps_gibbosus","vertebrate","ectotherme","yes","Breviceps gibbosus","Breviceps_gibbosus"
"325","Breviceps montanus","Breviceps montanus","Anura","31","amphibio","Body_size_mm","mm","BodyLengthMean",NA,"Animalia","Chordata","Amphibia","Anura","Brevicipitidae","Breviceps","montanus","Breviceps_montanus","vertebrate","ectotherme","yes","Breviceps montanus","Breviceps_montanus"
"326","Breviceps mossambicus","Breviceps mossambicus","Anura","52","amphibio","Body_size_mm","mm","BodyLengthMean",NA,"Animalia","Chordata","Amphibia","Anura","Brevicipitidae","Breviceps","mossambicus","Breviceps_mossambicus","vertebrate","ectotherme","yes","Breviceps mossambicus","Breviceps_mossambicus"
"327","Breviceps namaquensis","Breviceps namaquensis","Anura","49","amphibio","Body_size_mm","mm","BodyLengthMean",NA,"Animalia","Chordata","Amphibia","Anura","Brevicipitidae","Breviceps","namaquensis","Breviceps_namaquensis","vertebrate","ectotherme","yes","Breviceps namaquensis","Breviceps_namaquensis"
"329","Breviceps rosei","Breviceps rosei","Anura","36","amphibio","Body_size_mm","mm","BodyLengthMean",NA,"Animalia","Chordata","Amphibia","Anura","Brevicipitidae","Breviceps","rosei","Breviceps_rosei","vertebrate","ectotherme","yes","Breviceps rosei","Breviceps_rosei"
"330","Breviceps sopranus","Breviceps sopranus","Anura","26.2","amphibio","Body_size_mm","mm","BodyLengthMean",NA,"Animalia","Chordata","Amphibia","Anura","Brevicipitidae","Breviceps","sopranus","Breviceps_sopranus","vertebrate","ectotherme","yes","Breviceps sopranus","Breviceps_sopranus"
