amniota,amphibio,AnAge,arthropodtraits,Barton et al. 2013,Benedetti et al. 2015,BIEN,BROT,butterflytraits,carabids,CoastBenthBiogeo,Comte & Olden 2017,Comte & Olden 2018,Coral Species traits,Cueva del Castillo et al. 2011,Dahlke et al 2020,DISPERSE,D3,Edwards et al. 2015,EltonTraits,ESSD,Fishbase,GARD [appendix_1],GARD [appendix_2],GARD [appendix_S2],GARD [feldman_et_al._2015],GARD [geb131247],GARD [lizards],GARD [novosolov_et_al._2017],Gillepsie et al. 2017,GLAD[GlobalAnts],Globtherm,Heinen et al. 2017,heteroptera_raw,Kremer et al. 2014,Landcaster & Humphreys 2020,LEDA,MammalDIET,Marine Species traits,PalmTraits,PanTHERIA,PHYLACINE 1.2,Pigot et al. 2020,Polytraits,Meiri 2019,Slade et al. 2013,Storchova & Horak 2018,Sutherland 2000,TraitBank(fish),TraitBank(vertebrates),TraitBank(ecology lit v5),TraitBank,Trochet et al. 2014,TRY,Vieira et al. 2006,Whitmee & Orme 2013,Pacifici et al. 2014,OPDB,AVONET,BioTIME_BodySize-0.1.1,CONUS_freshwater,Rzanny and Voigt 2012,aphid,Vergnes et al 2012,Lislevand_et_al_2007,AnimalTraits,LepTraits 1.0,TOFF,World Spider Trait Database,Morley et al. 2018,Beerli_etal_ES1,Haarstad et al. 2018,Pincebourde_et_al_2021,Horne_et_al_2017,Neff_et_al_2020,Gossner_et_al_2015,Javois_et_al_2019,ChownGaston2010,Delletal2015
female_maturity_d,"Habitat[fossorial, Terrestrial, Aquatic, Arboreal]",Female maturity (days),Body_Size,feeding habit,Minimal length,diameter at breast height (1.3 m),GrowthForm,Overwintering_stage,body_length,type_of_dispersal,tmax,max_dispersal_distance,Abundance GBR,Males Thorax width,tmin,Maximum body size (cm),fruit_type,volume,"Diet (inv, scavenger, fish, fruit, nectar, seed, plant)",body size,Maximum body length,adult mass (g),brood size,Maximum mass (log10(g)),max length (mm),strategy,maximum body mass,Range size (sq km),Saproxylic,Head width across eyes (mm),tmin,Body.mass,Body_length,cell biovolume,tmax,age_first_flowering,"Diet (inv, scavenger, fish, fruit, nectar, seed, plant)",AMBI ecological group,Climbing,ActivityCycle,Terrestrial,Realm,Age at first reproduction,Latitude centroid (from Roll et al. 2017),ForestAffinity,LengthU_MEAN,median natal dispersal distance,trophic guild,trophic guild,trophic guild,trophic guild,Presence of sexual dimorphism,Bark calcium (Ca) content per bark dry mass,"Habitat_type(lake, wetland, warm sprigs, cold springs, headwater streams, rivers, brackish, temporary lentic, ephemeral lotic) Type of water bodies found in: Lakes",Maximum dispersal distance,generation length,body_colors,Beak.Length_Culmen,TR_BodyLength_mm,"AdultFlyingStrength_abbrev (weak, strong)",Body mass,phenology,"Habitat affinity (1 - specialist open land species and generalist species that are more abundant in open land habitats, 2 - generalist species, 3 - generalist species more abundant in woodland and specialist species of woodlands)",M_mass,body mass,Wingspan,taxonomy ,body size,Ctmax,body_length[mm],Length,length_mm,Voltinism,Body_volume,Body_Size,Female relative abdomen size,Elytronlength,WetBodyMass(mg)
litter_or_clutch_size_n,"Diet[Leaves, Flowers, Seeds, Fruits, Arthro, Vert]",Male maturity (days),Dispersal_ability,,Maximal length,flower color,DispMode,Overwintering_location,antenna_length,range_min    ,,mean_dispersal_distance,Abundance world,Males Head width,tmax,Life cycle duration,dia_type,c_per_cell,Trophic guild,feeding mode,Common length,hatchling / neonate mass (g),log female mass,Insular,length measure,clutch size,mean female mass,Body mass (g),Family,Head length (mm),tmax,Flying,Body_width ,,tmin,branching,trophic level,assexual reproduction,Acaulescent,AdultBodyMass_g,Aerial,TrophicLevel,Body size (max),Longitude centroid (from Roll et al. 2017),Wingspan,WingU_MEAN,maximum natal dispersal distnce,diet,diet,diet,diet,Body mass in males,Bark carbon (C) content per bark dry mass,Study_elevation_min,Mean dispersal distance,,body_colortypes,Beak.Length_Nares,TR_QualitativeBodySize,"Emerge_season_1 (Spring, Summer, Fall, Winter)",trophic level,diet activity,"Dispersal (1 - non aerial dispersal, 2 - aerial dispersal)",M_mass_N,brain mass,Forewing Length,ploidy leve,longevity,Ctmax ARR,FWL[mm],Width,width_mm,Body Size,Body_shape,Dispersal_ability,Diet breadth,Bodylength,
litters_or_clutches_per_y,"Diel[Noct, Diu, Crepu]",Gestation/Incubation (days),Feeding_guild,,Trophic Regime,flower pollination syndrome,FruitType,Voltinism,metafemur_length,range_max,,percentiles_dispersal_distance,Age at maturity,Queens Thorax width,trange,Potential number of reproductive cycles per year,dia_exposure,c_citation,Forest stratum,clerance rates,Fecundity,,log hatchling mass,,mass (g),maximum body mass,hatchling mass,Population density (individuals/ha),Family2,Clypeus length (mm),trange,Diet,Body_height,,,buds_seasonality,,blooming,Erect,AdultForearmLen_mm,Mass.g,TrophicNiche,Complex species,insular endemic,WingShape,WingM_MEAN,,burrow depth,burrow depth,burrow depth,burrow depth,Body mass in females,Bark carbon (C) isotope signature (delta 13C),Study_elevation_max ,,,body_patterns,Beak.Width,TR_Mean_LengthMax,"Emerge_season_2 (Spring, Summer, Fall, Winter)",vertical distribution,vertical distribution,,F_mass,metabolic rate,Phenology,sex,upper thermal tolerence,,thorax_width[mm],Thick,height_mm,Dry Mass (mg),Hind_femur_shape,Feeding_guild,Male wing length,Hindtibialength,
adult_body_mass_g,"Seasonality[Wet-Warm, Wet-cold, Dry_warm, Dry_cold]",Weaning (days),Feeding_mode,,Feeding strategy,fruit type,RespFire,Ant_association,eyewidth_corr,median_depth,,,Axial corallite part,Queens Head width,,Dispersal strategy,dia_hetero,mu_inf_amm,Pelagic (0/1),ingestion rates,Age at maturity,,RI (%),,length-mass relationship,mean female mass,insular endemic,Study area (ha),Flight activity period* (days),Mandible length (mm),,,Thorax_length,,,buds_vertical_dist,,body shape,StemSolitary,1AdultHeadBodyLen_mm,Island.Endemicity,ForagingNiche,Depth zonation (benthos),maximum SVL,TrophicGuild,WingF_MEAN,,burrow diameter,burrow diameter,burrow diameter,burrow diameter,Adult body mass,Bark carbon/nitrogen (C/N) ratio,Max_body_size   Maximal body size of immatures,,,mate_guarding,Beak.Depth,TR_adult_body_mass_g,"Emerge_synch_abbrev (Well, Poorly)",feeding/hunting strategy,number of kingdoms [consumed],,F_mass_N,,Voltinism,development stage,,,,Product,body_tp,,Hind_front_leg_ratio,Feeding_guild_short,Female eye size,Headwidth,
maximum_longevity_y,Body_mass_g,Litter/Clutch size,Feeding_specialization,,DVM behaviour,inflorescence length,SeedlEmerg,Forewing_length,resid_femur,,,,Bleaching event,Workers Thorax width,,Adult life span,dia_app_nutrient,mu_amm,Diel,spawning strategy,Trophic level,,mean annual temperature (ºC),,,Realm,Activity time,iqr mean annual temperature,MTL (days),Hind femur length (mm),,,Thorax_width,,,canopy_height,,body size,StemArmed,AgeatEyeOpening_d,IUCN.Status.1.2,,Depth zonation (pelagic),female SVL,DietBreadth,TailU_MEAN,,habitat,habitat,habitat,habitat,Body mass in juveniles,Bark copper (Cu) content per bark dry mass,Measured_length Measured body length of immatures (mm),,,flight_mode,Tarsus.Length,TR_Mean_SeedMass,"Feed_prim_abbrev (PR - predator, CG - Collector-gatherer, CF - Collector-filterer, HB - Herbivore, SH - Shredder, PA - Parasite)",mouthparts,number of orders  [consumed],,unsexed_mass,,Diapause Stage,,,,,,,,Wing_length_rel,Feeding_mode,Male eye size,Hindfemurlength,
gestation_d,Age_at_maturity_min_y,Litters/Clutches per year,Feeding_tissue,,Spawning strategy,leaf area,Clonality,Wingspan,resid_eye,,,,Calcification rate,Workers Head width,,Female wing length (mm),dia_app_elon,k_amm_m,Body mass,egg size,"Habitat (stream, lakes, caves, estuaries, lagoons, brackish seas, intertidal, oceanic, neritic, coral reefs, sea grass)",,temperature seasonality,,,insular endemic,substrate,iqr precipitation,WMSD (months),Scape length (mm),,,Head_width,,,dispersal_type,,brooding,LeavesArmed,AgeatFirstBirth_d,"Diet (Plant, vertebrate, invertebrate)",,Developmental mechanism,hatchling/neonate SVL,AdultsCanFeed,TailM_MEAN,,migratory status,migratory status,migratory status,migratory status,Snout-to-vent length in males,Bark crystals,Measured_width  Measured body width of immatures (mm),,,territoriality,Wing.Length,TR_Max_Height,"Feed_mode_sec (PR - predator, CG - Collector-gatherer, CF - Collector-filterer, HB - Herbivore, SH - Shredder, PA - Parasite)",exposition,foraging mode,,unsexed_mass_N,,Canopy Afnit,,,,,,,,Leg_length_rel,Feeding_specialization,Female forehead width,Mass,
weaning_d,Age_at_maturity_max_y,Inter-litter/Interbirth interval,Feeding_plant_part,,Pelagic layer,leaf area per leaf dry mass,FruitMass,Hostplant_family,resid_antenna,,,,Chlorophyll a,,,Wing pair type,dia_app_hook,k_amm,,clutch size,"Feeding habit (hunting, fitering plankton, grazing)",,,,,Latitude,diet,iqr seasonality,Seasonality index,Weber's length (mm),,,Eye_width,,,leaf_distribution,,calcification,MaxStemHeight_m,BasalMetRate_mLO2hr,Diet.Vertebrate,,Ecosystem engineering,Leg development,Population trends,TailF_MEAN,,EcomorphologicalGuild,EcomorphologicalGuild,EcomorphologicalGuild,EcomorphologicalGuild,Snout-to-vent length in females,Bark density (bark dry mass per bark volume),Measured_height Measured body height of immatures (mm),,,continents,Kipps.Distance,,"Female_disp_abbrev (high - >1km flight before laying eggs, low - <1 km flight before laying eggs)",parasitism,starvation capability,,M_wing,,Edge Afnit,,,,,,,,Antenna_length_rel,Feeding_tissue,Male forehead width,Winglength,
birth_or_hatching_weight_g,Body_size_mm,Birth weight (g),Endophagous_lifestyle,,,leaf carbon content per leaf dry mass,SeedMass,Hostplant_specificity,,,,,Coloniality,,,Lifelong fecundity (number of eggs per female),dia_app_flat,vmax_amm,,fecundity,Body mass,,,,,activity time,reproduction,iqr altitude,Peak activity,Pronotum width (mm),,,Antenna_Seg1,,,ldmc_geo,,dispersion mode,MaxStemDia_cm,BasalMetRateMass_g,Diet.Invertebrate,,Egg size,mass_equation (Feldman et al. 2016 unless stated),MovementRate,BillU_MEAN,,trophic level,trophic level,trophic level,trophic level,Adult snout-to-vent length,Bark iron (Fe) content per bark dry mass,Body_shape      Body shape,,,aquatic_habitats,Secondary1,,"Habit_prim (Burrower, Clinger, Skater, Swimmer, Sprawler, Climber, Planktonic)",aerial mobility,aerial activity,,M_wing_N,,Moisture Afnity,,,,,,,,Eye_width_rel,Feeding_plant_part,Female antenna length,Thoraxlength,
weaning_weight_g,Size_at_maturity_min_mm,Weaning weight (g),Stratum_use,,,leaf carbon content per leaf nitrogen content,LeafDivision,Hostplant_type,,,,,Colony area,,,Propensity to drift,dia_app_ballo,vmax_amm_c,,myelination,Feeding guild,,,,,substrate,Red List status,iqr NPP,Total abundance,Inter-ocular width (mm),,,Antenna_Seg2,,,leaf_mass,,environmental position,UnderstoreyCanopy,DietBreadth,,,Environmental position,intercept,,BillM_MEAN,,body shape,body shape,body shape,body shape,Total length in males,Bark magnesium (Mg) content per bark dry mass,Mediate_drag    Indication of whether shape mediates drag,,,climates,Hand-Wing.Index,,"Habit_sec (Burrower, Clinger, Skater, Swimmer, Sprawler, Climber, Planktonic)",degree of omnivory,walking activity,,F_wing,,Disturbance Afnity,,,,,,,,Feeding_specialization,Endophagous_lifestyle,Male antenna length,Size,
egg_mass_g,Size_at_maturity_max_mm,Adult weight (g),,,,leaf compoundness,LeafLifespan,Hostplant_growth_form,,,,,Colony bleached,,,,dia_app_muci,qmin_amm,,hibernation,Generation time,,,,,microhabitat,Population trend,iqr solar radiation,Number of traps (presence),Max eye width (mm),,,Antenna_Seg3,,,leaf_size,,feeding type,MaxLeafNumber,DispersalAge_d,,,Epitoky,slope,,BillF_MEAN,,breedingSeason,breedingSeason,breedingSeason,breedingSeason,Total lenght in females,Bark manganese (Mn) content per bark dry mass,"Morphology adaptation (sucker, friction, hooks, silk, ballast, hairy)",,,ecozones,Tail.Length,,"Max_body_size_abbrev (small - <9mm, Medium - 9-16 mm, Large - >16 mm)",degree of specialization,mean density,,F_wing_N,,Host Plants,,,,,,,,Feeding_tissue,Stratum_use,Male antenna type,Forewinglength,
