"id","publi_name","article_id","study_id","type","param","trend","sign_trend","unit_trend","azimuth","sign_azim","unit_azim","start","end","dur","observation","hemisphere","hor","lat","lon","ele","bat","le","te","o","eco","tax","n","sampling","nperiodes","first_year","last_year","data","uncertainty_distribution","uncertainty_parameter","grain_size","id_area","id_latitude","baseline_temp","trend_mean","trend_sd","trend_nb_pixels","v_lat_mean","v_lat_sd","v_lat_nb_pixels","ele_gradient","v_ele_mean","v_ele_sd","shift","unit","old_name","taxo_level","checkedby","kingdom","phylum","class","order","family","genus","species","new_name","group","temp","valid_species_name"
"A10_P1","Zonotrichia_leucophrys","A10","P1","LAT","O",0.57,NA,"km/year",NA,NA,NA,1975,2004,30,"center_of_occurrence","N",0,1,0,0,0,1,0,1,"T","A",254,"MULTIPLE(continuous)",10,1975,2004,"abundance-based","RAW","yes","large",834.6827987,39.52959007,10.95786,0.025242316,0.014694566,4293,1.019699697,5.272221234,5635,NA,NA,NA,0.57,"km/year","Zonotrichia_leucophrys","Species","Lise","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Zonotrichia","leucophrys","Zonotrichia_leucophrys","vertebrate","endotherme","yes"
"A10_P1","Picoides_albolarvatus","A10","P1","LAT","O",5.71,NA,"km/year",NA,NA,NA,1975,2004,30,"center_of_abundance","N",0,1,0,0,0,1,0,1,"T","A",254,"MULTIPLE(continuous)",10,1975,2004,"abundance-based","RAW","yes","large",834.6827987,39.52959007,10.95786,0.025242316,0.014694566,4293,1.019699697,5.272221234,5635,NA,NA,NA,5.71,"km/year","Picoides_albolarvatus","Species","Lise","Animalia","Chordata","Aves","Piciformes","Picidae","Picoides","albolarvatus","Picoides_albolarvatus","vertebrate","endotherme","yes"
"A10_P1","Dendroica_nigrescens","A10","P1","LAT","O",2,NA,"km/year",NA,NA,NA,1975,2004,30,"center_of_abundance","N",0,1,0,0,0,1,0,1,"T","A",254,"MULTIPLE(continuous)",10,1975,2004,"abundance-based","RAW","yes","large",834.6827987,39.52959007,10.95786,0.025242316,0.014694566,4293,1.019699697,5.272221234,5635,NA,NA,NA,2,"km/year","Dendroica_nigrescens","Species","Lise","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","nigrescens","Setophaga_nigrescens","vertebrate","endotherme","yes"
"A10_P1","Melanerpes_formicivorus","A10","P1","LAT","O",-0.58,NA,"km/year",NA,NA,NA,1975,2004,30,"center_of_occurrence","N",0,1,0,0,0,1,0,1,"T","A",254,"MULTIPLE(continuous)",10,1975,2004,"abundance-based","RAW","yes","large",834.6827987,39.52959007,10.95786,0.025242316,0.014694566,4293,1.019699697,5.272221234,5635,NA,NA,NA,-0.58,"km/year","Melanerpes_formicivorus","Species","Lise","Animalia","Chordata","Aves","Piciformes","Picidae","Melanerpes","formicivorus","Melanerpes_formicivorus","vertebrate","endotherme","yes"
"A10_P1","Falco_columbarius","A10","P1","LAT","LE",0.12,NA,"km/year",NA,NA,NA,1975,2004,30,NA,"N",0,1,0,0,0,1,0,1,"T","A",254,"MULTIPLE(continuous)",10,1975,2004,"abundance-based","RAW","yes","large",834.6827987,39.52959007,10.95786,0.025242316,0.014694566,4293,1.019699697,5.272221234,5635,NA,NA,NA,0.12,"km/year","Falco_columbarius","Species","Lise","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","columbarius","Falco_columbarius","vertebrate","endotherme","yes"
"A10_P1","Falco_columbarius","A10","P1","LAT","O",0.77,NA,"km/year",NA,NA,NA,1975,2004,30,"center_of_occurrence","N",0,1,0,0,0,1,0,1,"T","A",254,"MULTIPLE(continuous)",10,1975,2004,"abundance-based","RAW","yes","large",834.6827987,39.52959007,10.95786,0.025242316,0.014694566,4293,1.019699697,5.272221234,5635,NA,NA,NA,0.77,"km/year","Falco_columbarius","Species","Lise","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","columbarius","Falco_columbarius","vertebrate","endotherme","yes"
"A10_P1","Empidonax_wrightii","A10","P1","LAT","O",1.02,NA,"km/year",NA,NA,NA,1975,2004,30,"center_of_abundance","N",0,1,0,0,0,1,0,1,"T","A",254,"MULTIPLE(continuous)",10,1975,2004,"abundance-based","RAW","yes","large",834.6827987,39.52959007,10.95786,0.025242316,0.014694566,4293,1.019699697,5.272221234,5635,NA,NA,NA,1.02,"km/year","Empidonax_wrightii","Species","Lise","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax","wrightii","Empidonax_wrightii","vertebrate","endotherme","yes"
"A10_P1","Melanerpes_formicivorus","A10","P1","LAT","O",-0.46,NA,"km/year",NA,NA,NA,1975,2004,30,"center_of_abundance","N",0,1,0,0,0,1,0,1,"T","A",254,"MULTIPLE(continuous)",10,1975,2004,"abundance-based","RAW","yes","large",834.6827987,39.52959007,10.95786,0.025242316,0.014694566,4293,1.019699697,5.272221234,5635,NA,NA,NA,-0.46,"km/year","Melanerpes_formicivorus","Species","Lise","Animalia","Chordata","Aves","Piciformes","Picidae","Melanerpes","formicivorus","Melanerpes_formicivorus","vertebrate","endotherme","yes"
"A10_P1","Corvus_ossifragus","A10","P1","LAT","O",1.34,NA,"km/year",NA,NA,NA,1975,2004,30,"center_of_occurrence","N",0,1,0,0,0,1,0,1,"T","A",254,"MULTIPLE(continuous)",10,1975,2004,"abundance-based","RAW","yes","large",834.6827987,39.52959007,10.95786,0.025242316,0.014694566,4293,1.019699697,5.272221234,5635,NA,NA,NA,1.34,"km/year","Corvus_ossifragus","Species","Lise","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","ossifragus","Corvus_ossifragus","vertebrate","endotherme","yes"
"A10_P1","Melanerpes_formicivorus","A10","P1","LAT","LE",-0.42,NA,"km/year",NA,NA,NA,1975,2004,30,NA,"N",0,1,0,0,0,1,0,1,"T","A",254,"MULTIPLE(continuous)",10,1975,2004,"abundance-based","RAW","yes","large",834.6827987,39.52959007,10.95786,0.025242316,0.014694566,4293,1.019699697,5.272221234,5635,NA,NA,NA,-0.42,"km/year","Melanerpes_formicivorus","Species","Lise","Animalia","Chordata","Aves","Piciformes","Picidae","Melanerpes","formicivorus","Melanerpes_formicivorus","vertebrate","endotherme","yes"
