reported_name,reported_name_fixed,scientificName,kingdom,phylum,class,order,family,db,db_code,ObservationType,Source,Field,DispersalDistance,Code,Database,Unit,Sex,Study duration (days),Comments
Abramis brama,Abramis brama,Abramis brama,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,gbif,GBIF:9809222,radio-tracking,Lyons & Lucas 2002,Mean_dispersal_distance_(m),347.02,MeanDispersalDistance,Comte & Olden,m,NA,1.97,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Abramis brama,Abramis brama,Abramis brama,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,gbif,GBIF:9809222,radio-tracking,Donnelly et al. 1998,Mean_dispersal_distance_(m),664.6,MeanDispersalDistance,Comte & Olden,m,NA,7.4,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Acipenser brevirostrum,Acipenser brevirostrum,Acipenser brevirostrum,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,gbif,GBIF:2402192,radio-tracking,Buckley & Kynard 1985,Mean_dispersal_distance_(m),39750,MeanDispersalDistance,Comte & Olden,m,NA,3,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,gbif,GBIF:2402120,radio-tracking,Mann et al. 2011,Mean_dispersal_distance_(m),311.85,MeanDispersalDistance,Comte & Olden,m,NA,2.33,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,gbif,GBIF:2402120,radio-tracking,Mann et al. 2011,Mean_dispersal_distance_(m),401.27,MeanDispersalDistance,Comte & Olden,m,NA,2.33,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,gbif,GBIF:2402120,radio-tracking,Trested et al. 2011,Mean_dispersal_distance_(m),565,MeanDispersalDistance,Comte & Olden,m,NA,11.3,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,gbif,GBIF:2402120,radio-tracking,Trested et al. 2011,Mean_dispersal_distance_(m),585,MeanDispersalDistance,Comte & Olden,m,NA,11.7,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,gbif,GBIF:2402120,radio-tracking,Trested et al. 2011,Mean_dispersal_distance_(m),904,MeanDispersalDistance,Comte & Olden,m,NA,11.3,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,gbif,GBIF:2402120,mark-release-recapture,Barth et al. 2011,Mean_dispersal_distance_(m),1013.33,MeanDispersalDistance,Comte & Olden,m,NA,324.79,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,gbif,GBIF:2402120,radio-tracking,Trested et al. 2011,Mean_dispersal_distance_(m),1170,MeanDispersalDistance,Comte & Olden,m,NA,11.7,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
